@relation 'AllIssues_rxjava-weka.filters.unsupervised.attribute.Remove-R2-3,7,11-12'

@attribute id numeric
@attribute title string
@attribute body string
@attribute commentsBodies string
@attribute repo {RxJava}
@attribute isPullRequest {false,true}
@attribute isLabeled {false,true}
@attribute 'Label bug' {false,true}

@data
9860665,'Refactoring conventions','','',RxJava,true,false,false
9865740,'Language adaptors','Includes Groovy and JRuby','',RxJava,true,false,false
9890781,'Clojure adaptor','','',RxJava,true,false,false
9913926,'remove wrap functionality','We no longer need this as we ve merged the interface and abstract classes together and don t need to ensure we have the abstract class','',RxJava,true,false,false
9994466,'Support multiple class types for language adaptors','','',RxJava,true,false,false
10034376,Refactoring,'convert to rx package names rx observables rx observables operations private package from javadocs rx util rx lang rx concurrency placeholder for schedulers change Func order to have return type at end T R instead of R T this matches the C# and Guava conventions added Action as Func without return value added overload subscribe methods with Action typed arguments added from alias methods in Observable','',RxJava,true,false,false
10036697,'Observable abstract or final','There is discussion about whether Observable should be a final class and only be usable via Observable create Func or whether we should leave it as abstract Discuss and decide','I vote not final If it were final then it would be impossible to extend Observable to add operators and still interoperate with other code that uses Observable Agreed We have decided to not make it final But we also have changed it from being abstract to a normal concrete class The subscribe implementation is passed in via a protected constructor or using Observable create Func1',RxJava,false,true,false
10036787,'Should filter be converted from Func T Boolean to Pred T','Should we add a new special predicate object instead of using Func T Boolean','',RxJava,false,true,false
10036869,'Documentation Introduction','','',RxJava,false,false,false
10036880,'Documentation Observables Observer','','',RxJava,false,false,false
10036948,'Operator ObserveOn','http msdn microsoft com en us library hh211920 v vs 103 aspx http msdn microsoft com en us library hh229634 v vs 103 aspx','Merged via https github com Netflix RxJava pull 225',RxJava,false,true,false
10036960,'Operator SubscribeOn','http msdn microsoft com en us library hh228963 v vs 103 aspx http msdn microsoft com en us library hh229238 v vs 103 aspx','Merged via https github com Netflix RxJava pull 225',RxJava,false,true,false
10036966,'Operator Switch','http msdn microsoft com en us library hh229197 v vs 103 aspx','',RxJava,false,true,false
10036971,'Operator Throttle','http msdn microsoft com en us library hh229298 v vs 103 aspx http msdn microsoft com en us library hh229400 v vs 103 aspx','',RxJava,false,true,false
10036977,'Operator Publish and PublishLast','http msdn microsoft com en us library hh229126 v vs 103 aspx http msdn microsoft com en us library hh211622 v vs 103 aspx http msdn microsoft com en us library hh229147 v vs 103 aspx http msdn microsoft com en us library hh229797 v vs 103 aspx http msdn microsoft com en us library hh228989 v vs 103 aspx http msdn microsoft com en us library hh211697 v vs 103 aspx','Good intro here http northhorizon net 2011 sharing in rx Thanks for linking that article very helpful Still missing publishLast This can be closed now as #407 included publishLast',RxJava,false,true,false
