"review_id","repository_id","repository_owner","repository_name","language","repository_creation_date","repository_update_date","pull_request_id","pull_request_title","pull_request_body","pull_request_state","pull_request_locked","pull_request_creation_date","pull_request_update_date","pull_request_close_date","pull_request_merged","pull_request_mergeable","pull_request_comments","pull_request_reviews","pull_request_review_comments","pull_request_commits","pull_request_additions","pull_request_deletions","pull_request_changed_files","review_state","review_body","reviewer_login"
23650,8843683,"chartjs","Chart.js","JavaScript","2013-03-17T23:56:36.000Z","2017-07-03T15:03:03.000Z",85168182,"This is a more declarative way to check if the context is a jQuery el…","Please consider the following before submitting a pull request:\n\nGuidelines for contributing: https://github.com/chartjs/Chart.js/blob/master/CONTRIBUTING.md\n\nExample of changes on an interactive website such as the following:\n- http://jsbin.com/\n- http://jsfiddle.net/\n- http://codepen.io/pen/\n- Premade template: http://codepen.io/pen?template=JXVYzq\n  …ement.\n\nAlso no need to check .getContext twice.\n","closed",false,"2016-09-14T05:19:23.000Z","2016-10-16T13:25:59.000Z","2016-10-16T13:25:59.000Z",false,false,7,1,1,1,1,1,1,"CHANGES_REQUESTED","","etimberg"
76507,8843683,"chartjs","Chart.js","JavaScript","2013-03-17T23:56:36.000Z","2017-07-03T15:03:03.000Z",85329051,"ESLint Updates","These updates add more structure to code styling. Tests will now fail if the code does not match the style set forth by these guidelines. The official standards were created based off of the most commonly used styles in this project already.\n\nHopefully this will make code easier to read over time and will keep all styling uniform throughout the project.\n\nEventually these rules should be extended to all code in the project (tests, etc.) rather than just the src files.\n\nI did my best to make sure that no functionality was changed through the adaptation of this styling throughout the project, but I might have caused a bug somewhere so please make sure that my changes will not induce any unexpected behavior.\n","closed",false,"2016-09-15T00:32:10.000Z","2016-09-15T22:08:57.000Z","2016-09-15T16:01:19.000Z",true,,10,15,15,9,460,482,38,"APPROVED","Looks good. I didn't notice any changes to the behaviour. I had a few minor comments.\n\nGreat work 👍 \n","etimberg"
79187,8843683,"chartjs","Chart.js","JavaScript","2013-03-17T23:56:36.000Z","2017-07-03T15:03:03.000Z",85329051,"ESLint Updates","These updates add more structure to code styling. Tests will now fail if the code does not match the style set forth by these guidelines. The official standards were created based off of the most commonly used styles in this project already.\n\nHopefully this will make code easier to read over time and will keep all styling uniform throughout the project.\n\nEventually these rules should be extended to all code in the project (tests, etc.) rather than just the src files.\n\nI did my best to make sure that no functionality was changed through the adaptation of this styling throughout the project, but I might have caused a bug somewhere so please make sure that my changes will not induce any unexpected behavior.\n","closed",false,"2016-09-15T00:32:10.000Z","2016-09-15T22:08:57.000Z","2016-09-15T16:01:19.000Z",true,,10,15,15,9,460,482,38,"COMMENTED","","etimberg"
99695,8843683,"chartjs","Chart.js","JavaScript","2013-03-17T23:56:36.000Z","2017-07-03T15:03:03.000Z",85329051,"ESLint Updates","These updates add more structure to code styling. Tests will now fail if the code does not match the style set forth by these guidelines. The official standards were created based off of the most commonly used styles in this project already.\n\nHopefully this will make code easier to read over time and will keep all styling uniform throughout the project.\n\nEventually these rules should be extended to all code in the project (tests, etc.) rather than just the src files.\n\nI did my best to make sure that no functionality was changed through the adaptation of this styling throughout the project, but I might have caused a bug somewhere so please make sure that my changes will not induce any unexpected behavior.\n","closed",false,"2016-09-15T00:32:10.000Z","2016-09-15T22:08:57.000Z","2016-09-15T16:01:19.000Z",true,,10,15,15,9,460,482,38,"COMMENTED","","simonbrunel"
99851,8843683,"chartjs","Chart.js","JavaScript","2013-03-17T23:56:36.000Z","2017-07-03T15:03:03.000Z",85329051,"ESLint Updates","These updates add more structure to code styling. Tests will now fail if the code does not match the style set forth by these guidelines. The official standards were created based off of the most commonly used styles in this project already.\n\nHopefully this will make code easier to read over time and will keep all styling uniform throughout the project.\n\nEventually these rules should be extended to all code in the project (tests, etc.) rather than just the src files.\n\nI did my best to make sure that no functionality was changed through the adaptation of this styling throughout the project, but I might have caused a bug somewhere so please make sure that my changes will not induce any unexpected behavior.\n","closed",false,"2016-09-15T00:32:10.000Z","2016-09-15T22:08:57.000Z","2016-09-15T16:01:19.000Z",true,,10,15,15,9,460,482,38,"COMMENTED","","simonbrunel"
99872,8843683,"chartjs","Chart.js","JavaScript","2013-03-17T23:56:36.000Z","2017-07-03T15:03:03.000Z",85329051,"ESLint Updates","These updates add more structure to code styling. Tests will now fail if the code does not match the style set forth by these guidelines. The official standards were created based off of the most commonly used styles in this project already.\n\nHopefully this will make code easier to read over time and will keep all styling uniform throughout the project.\n\nEventually these rules should be extended to all code in the project (tests, etc.) rather than just the src files.\n\nI did my best to make sure that no functionality was changed through the adaptation of this styling throughout the project, but I might have caused a bug somewhere so please make sure that my changes will not induce any unexpected behavior.\n","closed",false,"2016-09-15T00:32:10.000Z","2016-09-15T22:08:57.000Z","2016-09-15T16:01:19.000Z",true,,10,15,15,9,460,482,38,"COMMENTED","","simonbrunel"
100548,8843683,"chartjs","Chart.js","JavaScript","2013-03-17T23:56:36.000Z","2017-07-03T15:03:03.000Z",85329051,"ESLint Updates","These updates add more structure to code styling. Tests will now fail if the code does not match the style set forth by these guidelines. The official standards were created based off of the most commonly used styles in this project already.\n\nHopefully this will make code easier to read over time and will keep all styling uniform throughout the project.\n\nEventually these rules should be extended to all code in the project (tests, etc.) rather than just the src files.\n\nI did my best to make sure that no functionality was changed through the adaptation of this styling throughout the project, but I might have caused a bug somewhere so please make sure that my changes will not induce any unexpected behavior.\n","closed",false,"2016-09-15T00:32:10.000Z","2016-09-15T22:08:57.000Z","2016-09-15T16:01:19.000Z",true,,10,15,15,9,460,482,38,"COMMENTED","","simonbrunel"
104353,8843683,"chartjs","Chart.js","JavaScript","2013-03-17T23:56:36.000Z","2017-07-03T15:03:03.000Z",85329051,"ESLint Updates","These updates add more structure to code styling. Tests will now fail if the code does not match the style set forth by these guidelines. The official standards were created based off of the most commonly used styles in this project already.\n\nHopefully this will make code easier to read over time and will keep all styling uniform throughout the project.\n\nEventually these rules should be extended to all code in the project (tests, etc.) rather than just the src files.\n\nI did my best to make sure that no functionality was changed through the adaptation of this styling throughout the project, but I might have caused a bug somewhere so please make sure that my changes will not induce any unexpected behavior.\n","closed",false,"2016-09-15T00:32:10.000Z","2016-09-15T22:08:57.000Z","2016-09-15T16:01:19.000Z",true,,10,15,15,9,460,482,38,"COMMENTED","","simonbrunel"
141855,8843683,"chartjs","Chart.js","JavaScript","2013-03-17T23:56:36.000Z","2017-07-03T15:03:03.000Z",85329051,"ESLint Updates","These updates add more structure to code styling. Tests will now fail if the code does not match the style set forth by these guidelines. The official standards were created based off of the most commonly used styles in this project already.\n\nHopefully this will make code easier to read over time and will keep all styling uniform throughout the project.\n\nEventually these rules should be extended to all code in the project (tests, etc.) rather than just the src files.\n\nI did my best to make sure that no functionality was changed through the adaptation of this styling throughout the project, but I might have caused a bug somewhere so please make sure that my changes will not induce any unexpected behavior.\n","closed",false,"2016-09-15T00:32:10.000Z","2016-09-15T22:08:57.000Z","2016-09-15T16:01:19.000Z",true,,10,15,15,9,460,482,38,"COMMENTED","","panzarino"
142271,8843683,"chartjs","Chart.js","JavaScript","2013-03-17T23:56:36.000Z","2017-07-03T15:03:03.000Z",85329051,"ESLint Updates","These updates add more structure to code styling. Tests will now fail if the code does not match the style set forth by these guidelines. The official standards were created based off of the most commonly used styles in this project already.\n\nHopefully this will make code easier to read over time and will keep all styling uniform throughout the project.\n\nEventually these rules should be extended to all code in the project (tests, etc.) rather than just the src files.\n\nI did my best to make sure that no functionality was changed through the adaptation of this styling throughout the project, but I might have caused a bug somewhere so please make sure that my changes will not induce any unexpected behavior.\n","closed",false,"2016-09-15T00:32:10.000Z","2016-09-15T22:08:57.000Z","2016-09-15T16:01:19.000Z",true,,10,15,15,9,460,482,38,"COMMENTED","","panzarino"
