,model,topic,cv,cuci,cnpmi
0,lsi,2,0.5301225043922423,-2.2740151445557766,0.025029728304393706
1,lsi,4,0.6178382121507802,-2.1782956834766485,0.05227969260257069
2,lsi,6,0.6085358245863669,-2.0327857894258856,0.028213674816395282
3,lsi,8,0.6087831917860322,-2.953323268650309,-0.024274131895192314
4,lsi,10,0.5898614305595629,-3.055327164130801,-0.03767283432775119
5,lsi,12,0.6359047772392911,-2.5231392647840205,-0.019171990011341424
6,lsi,14,0.5493210297907546,-2.9079245899183834,-0.043893637349198385
7,lsi,16,0.5369772655913426,-2.6451204345216706,-0.051898599346064424
8,lsi,18,0.5459711643079488,-2.347976067592154,-0.03704921713438486
9,lsi,20,0.5020638849430308,-2.329194116167193,-0.0463355762111181
10,lsi,22,0.516125963664555,-2.421828517745218,-0.04669087740058683
11,lsi,24,0.5360431353063126,-2.4212784725564043,-0.04113440462867393
12,lsi,26,0.502409489698287,-2.9201517137900086,-0.06231113320756472
13,lsi,28,0.47337568745082165,-2.8312261834334222,-0.07715309036152311
14,lsi,30,0.4958222101600469,-2.7247364367289064,-0.06290451364593809
15,lsi,32,0.47288909476603513,-2.590417830872541,-0.07006994195452217
16,lsi,34,0.46558995666402303,-3.0983459585084003,-0.09156292395489098
17,lsi,36,0.45152672940645616,-3.1708536655227157,-0.09108454313515055
18,lsi,38,0.4699056243064892,-2.8064655849560403,-0.0796640026538558
19,lda,2,0.6962387182246838,-0.026644830975491068,0.01707585011977333
20,lda,4,0.6476452588617168,-0.20035969392870742,0.012410312660026757
21,lda,6,0.6127954821602484,-0.8280314462020578,-0.0033744173743855393
22,lda,8,0.6276841331202252,-0.5996460398828787,0.009674417378641066
23,lda,10,0.5688153423120681,-1.238056947018888,-0.017889435123334248
24,lda,12,0.5610711634752865,-1.4243578867907827,-0.023812871581001153
25,lda,14,0.553549982279557,-1.7442621383659203,-0.034475074868794524
26,lda,16,0.5458724070304338,-1.9189492397393049,-0.040504621161570345
27,lda,18,0.525213329255989,-1.9066709835474016,-0.043736220090530235
28,lda,20,0.506477270480614,-2.2973165477213153,-0.057199494458034406
29,lda,22,0.5145847004176466,-2.3259245561602424,-0.05846656171799056
30,lda,24,0.506083099802909,-2.1552446556742684,-0.05072195112131419
31,lda,26,0.4951821056612459,-2.5218722423980853,-0.06385967323866809
32,lda,28,0.5186468313227314,-2.291835905050113,-0.05519875742761946
33,lda,30,0.5080805865177764,-2.3256021708092067,-0.054632444210020746
34,lda,32,0.4755147742930049,-2.665296866388272,-0.06970185009752648
35,lda,34,0.48488591377647194,-2.7642672553138534,-0.07339733835590335
36,lda,36,0.4875287882989463,-2.9260480428333797,-0.07831407991408436
37,lda,38,0.4821251146766641,-2.905374429073385,-0.075622550767579
38,ldamallet,2,0.6094216695483108,-0.7424549684262605,0.0017064444406923313
39,ldamallet,4,0.6657321272242375,-0.830426908661676,0.017344047553562083
40,ldamallet,6,0.6538303265587189,-0.9506517193530838,0.01882338906509959
41,ldamallet,8,0.6454259508664765,-0.7038050717316255,0.030401884493396217
42,ldamallet,10,0.6900147925613129,-0.9135005512809672,0.022170447728156722
43,ldamallet,12,0.6055640380363929,-1.568181517367522,-0.007270631256958926
44,ldamallet,14,0.5845867236551544,-1.8316954478741532,-0.015304740753632319
45,ldamallet,16,0.6291439085773912,-1.0233300070455484,0.023676731535465914
46,ldamallet,18,0.6212213420393176,-1.4736534939716393,0.000327029260900888
47,ldamallet,20,0.5717834395923116,-1.9391564268774377,-0.013081559368180187
48,ldamallet,22,0.5803091194175688,-2.04538061531242,-0.017257197914963794
49,ldamallet,24,0.5659835867805713,-1.9479556648502576,-0.010461887567620317
50,ldamallet,26,0.5626353353721665,-2.2889662553670465,-0.024008777322878226
51,ldamallet,28,0.5672244047676464,-2.4764685026765996,-0.03148048817533811
52,ldamallet,30,0.5619153273080114,-2.4541701929739355,-0.030531611382658787
53,ldamallet,32,0.534413994787734,-2.9618135069061786,-0.05037524135113907
54,ldamallet,34,0.540932767418643,-2.8109458994873564,-0.03986283937286984
55,ldamallet,36,0.5254235201219412,-3.060721794771913,-0.048479981630463354
56,ldamallet,38,0.5261956029224223,-3.2914724732034104,-0.059314838443393865
