,model,topic,cv,cuci,cnpmi
0,lsi,2,0.7683770129035098,-10.951371163168705,-0.31220499228867177
1,lsi,4,0.5028563029798655,-7.913955416494117,-0.19955680926290048
2,lsi,6,0.6044400947632378,-7.860172318370118,-0.1854987538827151
3,lsi,8,0.4981795563244683,-8.229460040030602,-0.20921183485820782
4,lsi,10,0.39425809882184815,-8.250772678987593,-0.2296809582733455
5,lsi,12,0.3833416005620129,-8.747295757064956,-0.2452324269024246
6,lsi,14,0.3934170046675,-9.031059950739941,-0.2586933948177215
7,lsi,16,0.39551484607571763,-9.324506209322806,-0.26814956779445664
8,lsi,18,0.37572527036014597,-9.318718335735253,-0.25955051338893775
9,lsi,20,0.4195977356666537,-9.776845925348283,-0.27932997597963977
10,lsi,22,0.3736562476096761,-9.958014422257534,-0.28933254238769895
11,lsi,24,0.43388979440805747,-10.117714164367184,-0.28864740288824287
12,lsi,26,0.4297381325685905,-10.24556680217624,-0.29462454532817595
13,lsi,28,0.40539258769873715,-10.52763455142899,-0.31170109430377974
14,lsi,30,0.3904897020343967,-10.514403060313851,-0.30724951662867933
15,lsi,32,0.421058434676147,-10.61425407100162,-0.31295074474396967
16,lsi,34,0.4134377029447189,-10.595171298798165,-0.3114164083341558
17,lsi,36,0.42011605005933084,-10.2995655242102,-0.2989609161379841
18,lsi,38,0.425574597567778,-10.627398391407773,-0.30998628591325755
19,lda,2,0.23934585321609664,-5.341004137596316,-0.1767667809577131
20,lda,4,0.2524655307999033,-6.028165363720863,-0.18908521253579708
21,lda,6,0.277036709743323,-6.902167019111868,-0.2154493708682748
22,lda,8,0.29759120383832083,-7.4002584612072955,-0.2222072019349305
23,lda,10,0.28728892304116205,-7.333579308507323,-0.23265527222759422
24,lda,12,0.3019774516584381,-7.402159058700627,-0.22063972426221135
25,lda,14,0.35696774652998836,-7.287613810750666,-0.20741379417237402
26,lda,16,0.34368774562631044,-7.730112059190493,-0.2219347568615253
27,lda,18,0.314560671595379,-7.099970334395475,-0.19176995504179928
28,lda,20,0.4057607098470575,-7.705037649692898,-0.20522189295030824
29,lda,22,0.3672164809945189,-7.6495875724387465,-0.21064744592187748
30,lda,24,0.387373380647372,-6.957703577693391,-0.16352894806692034
31,lda,26,0.38514966882548013,-7.93465678069895,-0.22001893938676548
32,lda,28,0.34015758181067607,-7.61558323421258,-0.2047603972100736
33,lda,30,0.3924487179526892,-7.3620896873545165,-0.18319983608182913
34,lda,32,0.38798986396075863,-7.392533601010433,-0.18713860780734382
35,lda,34,0.4238337069912288,-7.749377082880085,-0.19514461884975584
36,lda,36,0.43266637909228184,-7.616142305264327,-0.19215717122922044
37,lda,38,0.38061109400182297,-7.923305221858074,-0.20629023207190175
38,ldamallet,2,0.3652262115204289,-7.942387239044488,-0.25862905417377163
39,ldamallet,4,0.38913120203030616,-9.303255737019533,-0.27743953923912235
40,ldamallet,6,0.4511997509184564,-11.077141635930843,-0.34429563517692
41,ldamallet,8,0.4045895669752837,-10.755065282544551,-0.32287989897894864
42,ldamallet,10,0.4490056029046895,-11.762747601317551,-0.36180580656299943
43,ldamallet,12,0.4489280546094916,-11.575516222243714,-0.34952281326972484
44,ldamallet,14,0.5087762501832784,-11.846989275339869,-0.3613019447226686
45,ldamallet,16,0.4982639935381806,-11.847229036454273,-0.3583699600009902
46,ldamallet,18,0.5553572150509161,-12.048678356987352,-0.3728099904992208
47,ldamallet,20,0.5623060254524368,-12.116760058348804,-0.3688716684301506
48,ldamallet,22,0.5950182170833779,-12.354264847976493,-0.3789939917132065
49,ldamallet,24,0.5823207279168457,-13.093284192361828,-0.41217213114076934
50,ldamallet,26,0.5530035131032108,-12.75253454279968,-0.3981170087420333
51,ldamallet,28,0.605599305951265,-12.848571003620352,-0.40381164617823645
52,ldamallet,30,0.5982013460124015,-13.106459648547501,-0.4170608800269901
53,ldamallet,32,0.5969676800372588,-13.508045616480658,-0.4365464467781103
54,ldamallet,34,0.6217598988743646,-13.465689770836628,-0.43166032258413944
55,ldamallet,36,0.6133326530902866,-13.847611744960268,-0.4531597992417984
56,ldamallet,38,0.6155724599741971,-13.676360143069378,-0.44368563666810384
