,model,topic,cv,cuci,cnpmi
0,lsi,2,0.29634670314674355,-2.709745820113181,-0.08418350822061652
1,lsi,4,0.4671416234527762,-5.469281737535478,-0.12064090000079883
2,lsi,6,0.39458080446898275,-4.39136757448528,-0.12763482560194003
3,lsi,8,0.43798782795694485,-6.48202282163372,-0.18227897193680842
4,lsi,10,0.4408849994717771,-6.626294244537138,-0.1844145755653342
5,lsi,12,0.43815687357391314,-6.573014341043378,-0.18736547769366596
6,lsi,14,0.34644584902282877,-6.251715308706421,-0.17712097547329644
7,lsi,16,0.4134574237765991,-7.20110711674817,-0.19874296638161032
8,lsi,18,0.347469652522377,-6.895908630511353,-0.2025915078003334
9,lsi,20,0.3309569047789216,-7.281586464676225,-0.2153773796265006
10,lsi,22,0.3975602364331532,-7.28419219965698,-0.2007876788594204
11,lsi,24,0.38387146374147446,-7.34773770017467,-0.21493666912185053
12,lsi,26,0.33036856991805585,-7.62930657613782,-0.22321617539583855
13,lsi,28,0.36948371590729384,-7.3632867030614255,-0.21536976023840934
14,lsi,30,0.3498431074846156,-7.580444742005115,-0.2254650756902726
15,lsi,32,0.34533747905740453,-8.030884452687811,-0.24253681710354819
16,lsi,34,0.3647088578633335,-7.9005715524683255,-0.23372854411377325
17,lsi,36,0.34303200795222344,-7.972545425872541,-0.23859320361434155
18,lsi,38,0.32891778376656344,-7.942631913057393,-0.23837290243876014
19,lda,2,0.3210767876262857,-1.7949294657237997,-0.05371432470893241
20,lda,4,0.3402889846874335,-2.573497962314779,-0.08713955859627376
21,lda,6,0.31106276631805957,-2.479516148249797,-0.07534567083664334
22,lda,8,0.3034448350641602,-2.8127821142304024,-0.08126081564240914
23,lda,10,0.3113216221151329,-3.3105683619355455,-0.10071306187668543
24,lda,12,0.32792727015128387,-3.9128077977294193,-0.12150288078490495
25,lda,14,0.3423514484006852,-3.6021371862664786,-0.1048569205344126
26,lda,16,0.3211988981902665,-3.3958317290309754,-0.09509266154800998
27,lda,18,0.3445661041733122,-4.19417087283739,-0.12368329499753081
28,lda,20,0.3121186912143493,-4.048896968910482,-0.11695706966805541
29,lda,22,0.33616088104009395,-4.349753480251872,-0.12639036827713712
30,lda,24,0.3290810020118413,-4.63189835191938,-0.1432293421043435
31,lda,26,0.3130742501109341,-4.807446650913027,-0.14473788637067803
32,lda,28,0.33276000762247143,-4.834306156372607,-0.14219520606252806
33,lda,30,0.32555092325425145,-4.896622902884426,-0.14056251634502395
34,lda,32,0.3362528352333107,-4.8322248336957125,-0.14069428881494217
35,lda,34,0.33467933074841644,-5.053002957022702,-0.14135410811405227
36,lda,36,0.3422567229854905,-5.252500328719943,-0.15580060197501977
37,lda,38,0.3361532883892204,-5.121265103859541,-0.14547681837833232
38,ldamallet,2,0.3407607167722171,-3.1170444423880173,-0.09304507542598275
39,ldamallet,4,0.3993729321155379,-7.047354227392601,-0.21605579597318678
40,ldamallet,6,0.37552252554577775,-8.100541881482352,-0.25151801598170825
41,ldamallet,8,0.4618017828707088,-9.319110004536252,-0.28065674780490324
42,ldamallet,10,0.4387690970707155,-9.674722656960892,-0.28835989038491444
43,ldamallet,12,0.4405667661470118,-9.785363554498064,-0.2862187990799885
44,ldamallet,14,0.4547455670280903,-9.99513730370983,-0.2968033047793713
45,ldamallet,16,0.43971481331591555,-10.530670247998593,-0.3203720369590216
46,ldamallet,18,0.4783472313271974,-10.350105770960617,-0.30467604156513045
47,ldamallet,20,0.4868243595211288,-10.629534003072848,-0.3216962703879268
48,ldamallet,22,0.4732528197446502,-10.521735865324441,-0.31103074710516604
49,ldamallet,24,0.48686903300366086,-10.740491627229495,-0.3250900146837558
50,ldamallet,26,0.524496622379539,-11.051640221363176,-0.33596589961773043
51,ldamallet,28,0.516423120910643,-11.146077762269496,-0.34065320079525635
52,ldamallet,30,0.5483742023100782,-11.324018156790551,-0.3488942974288014
53,ldamallet,32,0.5650023468476056,-11.367334198816419,-0.3491431936197982
54,ldamallet,34,0.565914991785724,-11.539266548659885,-0.3559331116726105
55,ldamallet,36,0.5436073199056256,-11.368729918848027,-0.3512167334948352
56,ldamallet,38,0.5750247931598462,-11.380923884228787,-0.3491223778631449
