id,model,topic,cv,cuci,cnpmi
0,lsi,2,0.8612155266536112,-1.3187130893365353,-0.008163301834057156
1,lsi,4,0.5614645225271807,-3.543153207421736,-0.05745968992681171
2,lsi,6,0.6210157242267748,-3.9859250094772776,-0.06268313030573815
3,lsi,8,0.47791950773437175,-3.937989480259816,-0.08650214169368865
4,lsi,10,0.5445502840265364,-4.127303936515789,-0.06465888482849037
5,lsi,12,0.46299760231590925,-4.53828819213825,-0.10987671393254415
6,lsi,14,0.46791412889514794,-4.918908624805034,-0.10945058241541471
7,lsi,16,0.457891258552643,-5.798864554520092,-0.14853296159618407
8,lsi,18,0.38396804224498265,-6.141189293381228,-0.1690541599286574
9,lsi,20,0.38137628210246993,-6.218692703280542,-0.17385539008262776
10,lsi,22,0.3990254846343644,-6.766623539691991,-0.18781046873125729
11,lsi,24,0.39737969910715015,-6.821145877694311,-0.19041735585020736
12,lsi,26,0.4034508112081836,-6.822028407314653,-0.19752035677208227
13,lsi,28,0.37431656151488635,-6.992767587085263,-0.19295330974586564
14,lsi,30,0.3950868512363968,-6.734925492674403,-0.19382471046047878
15,lsi,32,0.3992994535911814,-6.731710793979806,-0.1924372453539082
16,lsi,34,0.3951024411524813,-7.123121850815079,-0.2093844711076776
17,lsi,36,0.3958221979985001,-7.177160130699936,-0.2177118126414151
18,lsi,38,0.3924077129019836,-7.460969288497993,-0.22248581511456308
19,lda,2,0.8566953990899089,-0.6152729603740342,-0.008389542004092698
20,lda,4,0.8181525127543794,-1.3047888383941997,-0.03300536783308758
21,lda,6,0.7727379136286655,-1.582228482212207,-0.047846101121287475
22,lda,8,0.7491685993004473,-1.566572639311913,-0.04458687578300335
23,lda,10,0.6680211510843763,-2.1220194223607733,-0.07177032197200689
24,lda,12,0.8050827886369661,-1.0913311000998238,-0.019921430750775803
25,lda,14,0.6497730535636835,-2.0722036514699247,-0.0635665967480818
26,lda,16,0.669796594210738,-2.455510428454587,-0.0565532618897014
27,lda,18,0.6527047387417686,-2.5110931739835207,-0.07155379657400601
28,lda,20,0.573482508563021,-3.022091925656075,-0.08010930857947912
29,lda,22,0.6526738470820838,-2.6575449081538287,-0.07486540648382455
30,lda,24,0.7050396406766204,-2.230046152466179,-0.05398451183598144
31,lda,26,0.658671371320403,-2.6656185419250633,-0.07586427580457902
32,lda,28,0.596354930327128,-2.757562785914121,-0.07045776201462732
33,lda,30,0.5519888699024958,-3.204834813535016,-0.08444297597390928
34,lda,32,0.6295824677406592,-3.1773533946148675,-0.09032911695102104
35,lda,34,0.5943604777785466,-3.1536634590197203,-0.08489535368259286
36,lda,36,0.6425277108266703,-2.41444602975082,-0.05761966546055835
37,lda,38,0.5865579923685506,-2.98242051221196,-0.07497527623282303
38,ldamallet,2,0.6154424940359224,-2.6116533916976405,-0.08815537717959013
39,ldamallet,4,0.5652778085116178,-2.718606684586114,-0.07739784876963038
40,ldamallet,6,0.5647712382393025,-3.8298251958268357,-0.11373819975875543
41,ldamallet,8,0.5834358210768686,-4.006166250293404,-0.11402228529376883
42,ldamallet,10,0.555428420106906,-4.176387266530844,-0.12127710784719473
43,ldamallet,12,0.5740823210137784,-4.5048776517416185,-0.13349272585505687
44,ldamallet,14,0.5509705252921188,-5.2549022090416075,-0.14746651587175133
45,ldamallet,16,0.5179974255981605,-5.285524110404068,-0.13600358313372934
46,ldamallet,18,0.5266662452358889,-5.583016869316626,-0.1541526150432446
47,ldamallet,20,0.5466566625379782,-5.974853057603235,-0.1739495968363009
48,ldamallet,22,0.49387762900206145,-6.823934929013283,-0.20287970793834392
49,ldamallet,24,0.501350944718345,-6.649477048582585,-0.19571902746295353
50,ldamallet,26,0.48869395873419086,-7.253951190172115,-0.20995557483101826
51,ldamallet,28,0.5091469242829235,-7.028222891520463,-0.20262349761237702
52,ldamallet,30,0.49042546989392644,-7.46192688473155,-0.21945344768481145
53,ldamallet,32,0.4902740454450084,-7.269347751631628,-0.20513745115473853
54,ldamallet,34,0.5109287200543031,-7.500274277958736,-0.21162787905054678
55,ldamallet,36,0.5164212277853766,-7.420113317291361,-0.20595515925424412
56,ldamallet,38,0.5040543264818179,-7.698667087172849,-0.21995668165588778
