,model,topic,cv,cuci,cnpmi
0,lsi,2,0.8476166525396376,-8.130974099296163,-0.2420438412823122
1,lsi,4,0.8024950650195832,-8.534617746536842,-0.19689464022953745
2,lsi,6,0.6291685600544398,-9.639160295792683,-0.22355031409112291
3,lsi,8,0.6280444108140834,-9.176090719279621,-0.22452119851252494
4,lsi,10,0.5963797364772515,-8.805265999378317,-0.19287366687776655
5,lsi,12,0.545500810529391,-8.791593696914983,-0.1925325697486727
6,lsi,14,0.5837688665261995,-9.092125717870077,-0.17946752567911858
7,lsi,16,0.54882890419135,-9.3855285895782,-0.19636363593770906
8,lsi,18,0.4807750296221932,-9.627215894864499,-0.2212959399316781
9,lsi,20,0.539604320900199,-9.263809002589493,-0.21035346510624425
10,lsi,22,0.5132863849879495,-9.545486120168809,-0.21210563317493206
11,lsi,24,0.5203283202491539,-9.451393404181943,-0.22157146240326644
12,lsi,26,0.45395730181320243,-9.883883456689022,-0.2403915620865626
13,lsi,28,0.49249814782100565,-9.880927420645017,-0.2362037021083942
14,lsi,30,0.44174091412672106,-9.750747079412486,-0.23697137490647427
15,lsi,32,0.43938146834528236,-9.8626967467826,-0.24260336141075178
16,lsi,34,0.47401048367305393,-9.8752820931093,-0.23704805155846873
17,lsi,36,0.4377825389783945,-10.041298053504295,-0.2532275231316817
18,lsi,38,0.48076261145875476,-9.77609379160023,-0.2391374764410468
19,lda,2,0.7558043543719279,-7.458271966153317,-0.23971363130252243
20,lda,4,0.780137393351545,-6.595290431240407,-0.2026248397123809
21,lda,6,0.6845674218462098,-7.36302514138854,-0.2410649431259212
22,lda,8,0.7507196256813427,-7.135444555397282,-0.2067982982393059
23,lda,10,0.5793995371365701,-7.173834874786868,-0.21268664436120294
24,lda,12,0.6438743253561141,-7.530167701479964,-0.234452545149335
25,lda,14,0.6743848744495893,-7.2582793518882935,-0.22021552985951498
26,lda,16,0.5962047679737865,-7.583402277269527,-0.21060608099592604
27,lda,18,0.4958488307623247,-6.963323361653809,-0.1909145606824689
28,lda,20,0.5898078218490633,-7.043214485468646,-0.18737256316903
29,lda,22,0.5881056920902834,-7.76882014488611,-0.21541344052716346
30,lda,24,0.5793124138470432,-7.382429530118201,-0.20988492706784734
31,lda,26,0.49965123901026026,-8.257928770017662,-0.21507561088791227
32,lda,28,0.5434106971207938,-7.815179034075335,-0.19506388505736547
33,lda,30,0.5742681552518963,-8.196615481732659,-0.23700941762267502
34,lda,32,0.5546299874581626,-8.360037132190783,-0.23573870940724911
35,lda,34,0.5137261782580511,-8.03088783641192,-0.204686293666211
36,lda,36,0.4934354699946224,-8.256564881132531,-0.2266347029344528
37,lda,38,0.5395767181367588,-8.411206869732654,-0.2299370427545556
38,ldamallet,2,0.8023990449619515,-10.689513716481846,-0.3495701141414672
39,ldamallet,4,0.6740774374833997,-11.80859443419755,-0.3480394925853053
40,ldamallet,6,0.5712930649101403,-11.357053016841165,-0.3264825459841776
41,ldamallet,8,0.6027447157835917,-11.617228225642219,-0.33580853589339665
42,ldamallet,10,0.5437824617020761,-11.749195315610622,-0.3321305899075436
43,ldamallet,12,0.5552443299279385,-12.37696294639255,-0.37460678592511787
44,ldamallet,14,0.5405990191997025,-11.941108313163877,-0.35774675312275706
45,ldamallet,16,0.5473461328848079,-12.132268724691613,-0.3685758619491201
46,ldamallet,18,0.5420072957915489,-12.50217424863917,-0.3821260434696525
47,ldamallet,20,0.5403763738643197,-12.391387097944534,-0.3775331228878641
48,ldamallet,22,0.5287815875056993,-12.667348205002963,-0.392591958815446
49,ldamallet,24,0.5426963320848276,-12.824177758444307,-0.39770119555525546
50,ldamallet,26,0.5493208397305256,-12.720209188350621,-0.39409199138695905
51,ldamallet,28,0.5431355657519201,-13.108162269445497,-0.41232772480559976
52,ldamallet,30,0.5504602108026564,-13.012118801934966,-0.411744637349351
53,ldamallet,32,0.5244252918264668,-13.190209574187326,-0.42059696282221426
54,ldamallet,34,0.5213267766781591,-13.526635745814733,-0.4395148280033511
55,ldamallet,36,0.5306669255902627,-13.245727338637925,-0.42437192094844
56,ldamallet,38,0.5200879602791226,-13.476359451650536,-0.4391936181353127
