,model,topic,cv,cuci,cnpmi
0,lsi,2,0.3319173096218221,-1.8359363081301554,-0.04834847348835555
1,lsi,4,0.40086303037822013,-2.5537948371890824,-0.07259330987364387
2,lsi,6,0.4544239706641056,-4.183632876213758,-0.0938770965325737
3,lsi,8,0.3751747323427213,-4.840935698416691,-0.1195505403106876
4,lsi,10,0.38272891940770326,-6.047071819486217,-0.14044826096403662
5,lsi,12,0.39771979034045407,-5.670072949200285,-0.15824483866420505
6,lsi,14,0.39989012246124245,-5.48738891991425,-0.14470668596104036
7,lsi,16,0.3921123282623561,-5.835780176530097,-0.1560974397318501
8,lsi,18,0.3951637649066982,-6.197595132994698,-0.16562124531163808
9,lsi,20,0.38081562073716785,-6.4091214335622535,-0.18327756683794752
10,lsi,22,0.38353669714744587,-6.5994051224368695,-0.18484149400390776
11,lsi,24,0.3659078859894138,-6.991132760122624,-0.20610848806518098
12,lsi,26,0.3541218680235409,-6.606295948083543,-0.20122184572734594
13,lsi,28,0.3602824923687914,-6.682276613237131,-0.19172578478083777
14,lsi,30,0.3497435029628166,-6.994872639555443,-0.21317658223681263
15,lsi,32,0.3567961141188306,-7.40140728676942,-0.22828287481109746
16,lsi,34,0.3690058695279891,-7.292528884495512,-0.21802543014860468
17,lsi,36,0.3562726505919396,-7.27995153663592,-0.2216478375682715
18,lsi,38,0.3599015849795132,-7.520580676636762,-0.23265960716971498
19,lda,2,0.26545611113839607,-0.5587699497924565,-0.032620906487545065
20,lda,4,0.25692000123298897,-2.1831443366384273,-0.08105938487561223
21,lda,6,0.2827301789604187,-2.282037511986218,-0.08218898620229241
22,lda,8,0.26790765067959865,-2.420468006838112,-0.0783722686471672
23,lda,10,0.25335071288910804,-3.6743601419434135,-0.12257410093641492
24,lda,12,0.27736172049686797,-3.1377764210237746,-0.1065688201827033
25,lda,14,0.2780064510351799,-2.8498072660090483,-0.09263150423816759
26,lda,16,0.29132169525840246,-3.3120603815667424,-0.1094578995790865
27,lda,18,0.2954888093121858,-3.6736877151708254,-0.11145678220995446
28,lda,20,0.2843694926365953,-3.3391274678149707,-0.10152634110807354
29,lda,22,0.2997574784151686,-4.0358874641904725,-0.12338731915582542
30,lda,24,0.2757485159442009,-4.6364693729955535,-0.14644800292523535
31,lda,26,0.31175967692005374,-3.9400791668769943,-0.11894120525742737
32,lda,28,0.2835436504106448,-4.17188897462171,-0.12791849567306338
33,lda,30,0.2795783192107956,-4.199043427586556,-0.125570784159617
34,lda,32,0.29278647518792544,-4.433442414941518,-0.13316494615283714
35,lda,34,0.3055559267612938,-4.3854798684191465,-0.12694696357590227
36,lda,36,0.29355448405488205,-4.578466001980181,-0.13337657403240993
37,lda,38,0.29495941946863674,-4.365992817502999,-0.1284472415619748
38,ldamallet,2,0.25151709050464355,-3.049327900556725,-0.11093072016498794
39,ldamallet,4,0.2957220082372438,-4.7229075946635435,-0.14165221940507178
40,ldamallet,6,0.32607604927160594,-6.132879447039219,-0.18110467183224044
41,ldamallet,8,0.36040331688829835,-6.972437098461791,-0.20371520625751258
42,ldamallet,10,0.3797701526540865,-7.730843901118041,-0.21425627373169132
43,ldamallet,12,0.3482825729851806,-7.515291436762371,-0.2059288677141736
44,ldamallet,14,0.390859002660978,-7.966284935752582,-0.22204633720428887
45,ldamallet,16,0.40155428069793064,-8.074025182655596,-0.21771036883713302
46,ldamallet,18,0.3777168535286355,-8.382341691157231,-0.23134441567775055
47,ldamallet,20,0.4211761050843844,-8.911955694048686,-0.25090621910238753
48,ldamallet,22,0.4094368273016156,-8.730169122066537,-0.24214752871672693
49,ldamallet,24,0.40280708585393316,-9.003166074370212,-0.25338070432373144
50,ldamallet,26,0.4554522534670642,-9.479760810353302,-0.2721684381409012
51,ldamallet,28,0.44220355833161157,-9.747188149348274,-0.28211039568879936
52,ldamallet,30,0.437376062288397,-9.63964726153563,-0.2781739225876832
53,ldamallet,32,0.45108553837588283,-9.832316797130176,-0.2842553325928021
54,ldamallet,34,0.4700741230762452,-9.900308880635633,-0.28639789328684134
55,ldamallet,36,0.4734837623862107,-10.042736903673267,-0.2964394634155766
56,ldamallet,38,0.46581066010629313,-9.976130239825416,-0.2921723908868562
