,model,topic,cv,cuci,cnpmi
0,lsi,2,0.6206800604749494,-3.60791282540657,-0.11275887125239689
1,lsi,4,0.7483684152279975,-4.476524240932878,-0.05473075348629163
2,lsi,6,0.7503556190827424,-1.8841770082759313,0.012739450869300353
3,lsi,8,0.6094975982532926,-2.8373463525898774,-0.04965254330170149
4,lsi,10,0.6824570147685122,-1.8777084743033634,-0.006600367781136043
5,lsi,12,0.651488431379837,-2.5555075163472076,-0.03437658232720305
6,lsi,14,0.5818821019563255,-2.7351263340946113,-0.052742017573260296
7,lsi,16,0.5667212195901867,-3.4098837478244137,-0.0689713318095995
8,lsi,18,0.5665773447337666,-3.3915447248552955,-0.08095729702301534
9,lsi,20,0.5503175400890273,-3.2067867111613637,-0.07397781582131005
10,lsi,22,0.5595813605556512,-3.1460980314855505,-0.07326812859810683
11,lsi,24,0.587262095312086,-2.4764292160963746,-0.049950937276838935
12,lsi,26,0.5467450939804144,-3.1529615399743487,-0.07684253865014055
13,lsi,28,0.5234015643887153,-3.2606576128167544,-0.08533250474251707
14,lsi,30,0.5350353941191857,-2.903639388822937,-0.07084277202740884
15,lsi,32,0.5613745000904193,-3.1110012797815063,-0.07083434492269922
16,lsi,34,0.5020686531733872,-3.483213739940309,-0.09810079461522266
17,lsi,36,0.49475436233062214,-3.5185698988232548,-0.09415217171748708
18,lsi,38,0.47562548432466434,-3.6349053863958134,-0.10067805835869571
19,lda,2,0.7587516406981987,-0.16374677743695348,0.007942898817666843
20,lda,4,0.6715750659166283,-0.9794090592613579,-0.011672845028845824
21,lda,6,0.6388575339495192,-1.4168279979772143,-0.02891597710424707
22,lda,8,0.5612329792700648,-2.753339205524145,-0.060718029808692627
23,lda,10,0.6441904417453529,-1.6841862005852029,-0.012158232908044452
24,lda,12,0.5534474967252149,-3.0774719272445554,-0.07187312633290675
25,lda,14,0.5681580635108664,-2.910701290844776,-0.06844451914917457
26,lda,16,0.5638828557735913,-3.218418471737154,-0.0737172388631981
27,lda,18,0.5267125402369364,-2.9791452840114645,-0.07565650563696945
28,lda,20,0.5481841348206287,-3.32839537847367,-0.08072554684805745
29,lda,22,0.5148741539846982,-4.057820180431037,-0.10865049719110478
30,lda,24,0.5172730697953595,-3.2227149379930857,-0.08602540556112648
31,lda,26,0.49154033833307387,-3.8726084003110373,-0.10113396385357148
32,lda,28,0.5166294099706598,-3.300453181369406,-0.08435724239257815
33,lda,30,0.515091873286655,-3.7075147822758923,-0.0948518157091735
34,lda,32,0.4890321460644723,-3.849058000326925,-0.10451168440695124
35,lda,34,0.49325725815180566,-3.9662762104738545,-0.10913681214212469
36,lda,36,0.4823085972075069,-3.940950195839294,-0.10710309740628204
37,lda,38,0.5135746732557389,-3.9010096916689636,-0.10275805140701988
38,ldamallet,2,0.7273150193908018,-0.1026978525861048,0.020257075842811098
39,ldamallet,4,0.6647681260959758,-0.9028483246167271,0.0006149723584850005
40,ldamallet,6,0.6469983732016359,-1.972467417142812,-0.035579838162706094
41,ldamallet,8,0.6605545195759028,-2.1218058641446302,-0.03376841916774691
42,ldamallet,10,0.6155599510043942,-2.281859864055366,-0.03984185905222
43,ldamallet,12,0.6316532935573873,-2.693847460997471,-0.04549997729017457
44,ldamallet,14,0.6393607260221564,-2.7371071573225265,-0.049831355988190884
45,ldamallet,16,0.6223831719772664,-2.4538602352898917,-0.03714830476895474
46,ldamallet,18,0.6118385325055704,-3.304433362209734,-0.06409389222502891
47,ldamallet,20,0.5945199641474388,-3.5015477767229797,-0.07632613960805221
48,ldamallet,22,0.5852986642278042,-3.5442533224835318,-0.07604457289404669
49,ldamallet,24,0.5795755718375072,-3.492745494150481,-0.07022495066450517
50,ldamallet,26,0.5397771147312813,-3.978398217027094,-0.09078575278217779
51,ldamallet,28,0.5644058868090286,-3.7664329473390246,-0.08288200506851454
52,ldamallet,30,0.5519851001928328,-4.3563069375169245,-0.10442738535884973
53,ldamallet,32,0.5355563306902503,-4.318945066006283,-0.09913087682578929
54,ldamallet,34,0.5423421141023321,-4.209760141281448,-0.09512080842060458
55,ldamallet,36,0.526002718149242,-4.620927179033479,-0.10908714587296135
56,ldamallet,38,0.5434664411868055,-4.405028933863614,-0.10278324890707426
