,model,topic,cv,cuci,cnpmi
0,lsi,2,0.7045029818604731,-1.3549600243564965,0.11014744250581116
1,lsi,4,0.7523805255760198,-2.3571447060772663,0.015384206280264191
2,lsi,6,0.6888319410312688,-2.8246975576976276,-0.012008244696689986
3,lsi,8,0.5658372997401306,-3.621315787061833,-0.052123812008203846
4,lsi,10,0.5277755050168309,-4.549142883903513,-0.09389093390260059
5,lsi,12,0.5253242318677193,-3.9406848032395962,-0.05716982150495812
6,lsi,14,0.5383758757661942,-3.7524563763538064,-0.08089264007572249
7,lsi,16,0.5320485662217407,-4.046008457645822,-0.08772055486322364
8,lsi,18,0.5123216777063297,-4.721426218282384,-0.11071325907245458
9,lsi,20,0.49169307888460895,-4.803443809223128,-0.11485352314017763
10,lsi,22,0.4802876569727416,-4.659487927440177,-0.11364831012007649
11,lsi,24,0.4711903770896085,-5.684184549201088,-0.1512543330911665
12,lsi,26,0.46542445209301786,-5.409880743004512,-0.15392102434247162
13,lsi,28,0.4483285439152813,-5.7969443283428905,-0.1643644689268003
14,lsi,30,0.44477621238947646,-5.571431760134246,-0.15903129345512504
15,lsi,32,0.45579638598940925,-5.6934960203959815,-0.1637460026745685
16,lsi,34,0.44213592407103447,-5.72690379162809,-0.16066295357291277
17,lsi,36,0.4394552872998865,-5.820964466741993,-0.16763102572465036
18,lsi,38,0.4201571582729093,-6.372532812848609,-0.18874762099866624
19,lda,2,0.489358071388952,-2.797115308275377,-0.1011945437785204
20,lda,4,0.4900191425343728,-3.449894696904662,-0.1210438032685817
21,lda,6,0.612720612679316,-1.6199140705989155,-0.03496678529029446
22,lda,8,0.5057227628319209,-2.8260372025759013,-0.08754004572689808
23,lda,10,0.4881292139774291,-2.7235470156142165,-0.057592820456739344
24,lda,12,0.470331558151957,-3.4506825292872736,-0.10033235585743934
25,lda,14,0.5620487554646518,-2.1802730711299363,-0.06548114877543969
26,lda,16,0.5009500544384273,-3.1208042432938585,-0.09229241842478678
27,lda,18,0.48163463882216045,-3.366167277827439,-0.09914866294463016
28,lda,20,0.46159174029087513,-3.222340351255947,-0.08998764251500815
29,lda,22,0.48515067929283284,-3.0358327100909803,-0.08472934523461434
30,lda,24,0.4747961472744568,-3.269473253892708,-0.08809796002124627
31,lda,26,0.48623064353185874,-3.1466256686375464,-0.08526454504139604
32,lda,28,0.46459275287347296,-3.116434077757361,-0.09900542187179194
33,lda,30,0.5233445852062164,-2.8417774500307487,-0.09053659078718365
34,lda,32,0.470116107904751,-3.417745902939102,-0.09933616507284264
35,lda,34,0.42687590592980146,-3.502873042802922,-0.10529479148930744
36,lda,36,0.4396059585723581,-3.7499023976213746,-0.11176243087404515
37,lda,38,0.4335364573255127,-3.5142625053987864,-0.10496840427870237
38,ldamallet,2,0.52983306118682,-3.5042365539157503,-0.09472065695626146
39,ldamallet,4,0.5856661341433999,-2.3763809336504496,-0.030369459383724904
40,ldamallet,6,0.4900509827677721,-3.296405923899543,-0.07281821560751063
41,ldamallet,8,0.5316141553765679,-3.245195746316138,-0.0579972216721421
42,ldamallet,10,0.5100817079565838,-3.8491119815872104,-0.07571049910963887
43,ldamallet,12,0.5254530635275962,-4.705813562560551,-0.09919604106672415
44,ldamallet,14,0.4817396671575385,-5.20108303145426,-0.1257369967331161
45,ldamallet,16,0.48165781037749944,-5.437178688353173,-0.1285961998165039
46,ldamallet,18,0.49033160509607715,-5.595041095462576,-0.13270480448595268
47,ldamallet,20,0.4613434382990825,-6.648697643773575,-0.16943693579943758
48,ldamallet,22,0.46292267970092527,-6.671912346647346,-0.17198064428056828
49,ldamallet,24,0.4874587842742805,-6.583122664452787,-0.16821116832805247
50,ldamallet,26,0.4713914113470926,-7.407992899938991,-0.19573583954045476
51,ldamallet,28,0.5033201531664225,-7.182416463291854,-0.18533836478635238
52,ldamallet,30,0.4823669219506848,-7.489987175051364,-0.19605145356215237
53,ldamallet,32,0.5022120184839151,-7.573595478923222,-0.20262590293083443
54,ldamallet,34,0.4856526559350943,-7.882745666913197,-0.21624016343113606
55,ldamallet,36,0.5167919110802236,-7.879381528340204,-0.20957349579783024
56,ldamallet,38,0.519805767285367,-8.095645435769109,-0.21899168909678612
