,model,topic,cv,cuci,cnpmi
0,lsi,2,0.48462965204404457,-1.8452713520346562,0.008166709221280138
1,lsi,4,0.7589922765923627,-3.514732844711826,-0.06321515805465285
2,lsi,6,0.5888773727704262,-3.2941682907059224,-0.07522837603458117
3,lsi,8,0.7084541764205793,-3.0643697281194866,-0.046606721938402734
4,lsi,10,0.5920878777650087,-2.1969842292075032,-0.016727940439685
5,lsi,12,0.5458696156436281,-2.5740974702146056,-0.024656580183983413
6,lsi,14,0.5491370815982767,-2.5637216502495934,-0.03259319056602219
7,lsi,16,0.5175966370376357,-3.1044212098587547,-0.06738276455873946
8,lsi,18,0.540954151959903,-2.4875492329002395,-0.03399877904949597
9,lsi,20,0.4916848580660659,-3.312341099776244,-0.07318037067802
10,lsi,22,0.4976387603976992,-3.29979741824106,-0.07391192986820272
11,lsi,24,0.47143453088613807,-3.2056419199131465,-0.06587979973631472
12,lsi,26,0.4820055810609255,-2.979708061285618,-0.06096732315187507
13,lsi,28,0.4756416856358202,-3.192781120569145,-0.07269084538410023
14,lsi,30,0.47082387009468,-3.3344796347036523,-0.08001410568263552
15,lsi,32,0.43974728062713836,-3.1540435681924026,-0.08064892811317217
16,lsi,34,0.43365025015977704,-3.285115343111113,-0.08817222793610188
17,lsi,36,0.4149987663141959,-3.4064731539239492,-0.09501625854297512
18,lsi,38,0.4296913594783368,-3.162244991484292,-0.09361791599548758
19,lda,2,0.6309111339516419,-0.29833429261428895,0.004508547568670878
20,lda,4,0.5192279695863322,-1.4764961157873342,-0.03358764736388589
21,lda,6,0.4896100454840569,-4.1532490455508135,-0.1253850409958561
22,lda,8,0.4824643534116722,-5.4233348698314945,-0.16683382564652127
23,lda,10,0.5014521004177723,-5.387551593538154,-0.1651728768015473
24,lda,12,0.4792817220172059,-5.937630986960823,-0.18824229623407288
25,lda,14,0.49477883334618966,-8.051218185525684,-0.2665811986517585
26,lda,16,0.4867641556781699,-7.447792740005852,-0.242627536544682
27,lda,18,0.557158370278492,-8.977708556093368,-0.29946856922982434
28,lda,20,0.48812326619868135,-7.371926977115116,-0.23854427071334866
29,lda,22,0.5116775901413129,-8.42092361526736,-0.27919184011940446
30,lda,24,0.4960183057484991,-8.578278934174442,-0.28299168234045285
31,lda,26,0.5298825262246881,-8.908234780798269,-0.29640439861415224
32,lda,28,0.48660602853985113,-8.297061758977987,-0.27628557321948727
33,lda,30,0.5040642822139009,-8.637939101691638,-0.28687955517358366
34,lda,32,0.47525682499701394,-8.116863235124171,-0.2667539745005796
35,lda,34,0.5030232735624426,-8.564424158895365,-0.28347835250544756
36,lda,36,0.4831292365959099,-8.485514207949718,-0.28130626624289695
37,lda,38,0.501772676306442,-8.939750096448213,-0.2981353105964892
38,ldamallet,2,0.7902301402342979,-13.871486631044608,-0.502025841638117
39,ldamallet,4,0.7902301402342979,-13.871486631044608,-0.502025841638117
40,ldamallet,6,0.790230140234298,-13.871486631044606,-0.502025841638117
41,ldamallet,8,0.7902301402342979,-13.871486631044608,-0.502025841638117
42,ldamallet,10,0.7902301402342979,-13.871486631044608,-0.502025841638117
43,ldamallet,12,0.790230140234298,-13.871486631044606,-0.502025841638117
44,ldamallet,14,0.790230140234298,-13.871486631044606,-0.502025841638117
45,ldamallet,16,0.7902301402342979,-13.871486631044608,-0.502025841638117
46,ldamallet,18,0.7902301402342979,-13.871486631044608,-0.502025841638117
47,ldamallet,20,0.7902301402342979,-13.871486631044608,-0.502025841638117
48,ldamallet,22,0.7902301402342978,-13.871486631044606,-0.502025841638117
49,ldamallet,24,0.7902301402342978,-13.87148663104461,-0.502025841638117
50,ldamallet,26,0.7902301402342977,-13.871486631044608,-0.502025841638117
51,ldamallet,28,0.7902301402342976,-13.871486631044608,-0.502025841638117
52,ldamallet,30,0.7902301402342976,-13.871486631044608,-0.502025841638117
53,ldamallet,32,0.7902301402342979,-13.871486631044608,-0.502025841638117
54,ldamallet,34,0.7902301402342978,-13.871486631044608,-0.5020258416381169
55,ldamallet,36,0.7902301402342977,-13.871486631044608,-0.5020258416381168
56,ldamallet,38,0.7902301402342977,-13.871486631044608,-0.5020258416381168
