,model,topic,cv,cuci,cnpmi
0,lsi,2,0.3527073283942288,-5.084272373787501,-0.1549383314947565
1,lsi,4,0.35325481804167824,-6.266701590675754,-0.15403314204484503
2,lsi,6,0.29619793072768696,-6.817903761778285,-0.1670634522747573
3,lsi,8,0.38104976520350914,-7.2164928826758015,-0.17526861799467205
4,lsi,10,0.3143685385859709,-8.878328740624788,-0.23854977374900618
5,lsi,12,0.4026947464010812,-8.445948569772211,-0.23806476335681082
6,lsi,14,0.36343115100324,-9.165630930046772,-0.2670430667353615
7,lsi,16,0.36060445847846045,-8.992255695890428,-0.2601785014787993
8,lsi,18,0.3516940706461156,-9.469953643048703,-0.2698683607375878
9,lsi,20,0.3683964856187848,-9.67066946282348,-0.27774190002646826
10,lsi,22,0.3936151728436327,-9.154122499347038,-0.26266689025339013
11,lsi,24,0.3948888241096693,-9.759680473355067,-0.28364832731508477
12,lsi,26,0.3803322685403566,-10.133718066674078,-0.3056729877265322
13,lsi,28,0.3818321766043488,-9.82333355797817,-0.29590261267236084
14,lsi,30,0.40180225400975395,-9.975671784433606,-0.299193019114809
15,lsi,32,0.4070032894447967,-10.00120474924504,-0.2988554298339875
16,lsi,34,0.42803804953569075,-10.156699740110747,-0.30429264122774247
17,lsi,36,0.43015882785373605,-10.366517674243223,-0.3107605627673918
18,lsi,38,0.41202141007242354,-10.200166183209763,-0.316410531535601
19,lda,2,0.2442524924490646,-3.301266501409801,-0.12519666235604252
20,lda,4,0.33413653688192924,-7.034505122257432,-0.22128482382297363
21,lda,6,0.40952022039188907,-8.29725055970926,-0.2751201910948506
22,lda,8,0.4670574615163272,-10.08922365393516,-0.334305238621718
23,lda,10,0.4982527322938566,-10.592436564037568,-0.3432759450930319
24,lda,12,0.49156315160744124,-10.69004834864584,-0.34166181764158404
25,lda,14,0.49957495599054164,-11.040086778894473,-0.3524016669396632
26,lda,16,0.48683288967405164,-11.170763764782105,-0.3557529717726675
27,lda,18,0.5072791697272329,-11.494991472976142,-0.3703817135149525
28,lda,20,0.530182761106148,-12.034727932557212,-0.3900672542009551
29,lda,22,0.500778326130571,-11.794599963862737,-0.37379982066954814
30,lda,24,0.48006923525910716,-11.307820980915603,-0.34779762982398904
31,lda,26,0.48731663131425224,-11.71259472711415,-0.36117587906978305
32,lda,28,0.4771880285393314,-11.916704773325622,-0.3686174701259732
33,lda,30,0.46528579029037387,-11.770043934862224,-0.3652520597602533
34,lda,32,0.44027975060747837,-11.355982787403292,-0.3446503476447863
35,lda,34,0.46781650703322847,-11.378339377383524,-0.34692047808075177
36,lda,36,0.43365591608358045,-10.96086984903236,-0.3224802093276445
37,lda,38,0.4259139863537029,-11.111972313310668,-0.3249812703484352
38,ldamallet,2,0.46958939856744475,-18.434716845769152,-0.6226312564820043
39,ldamallet,4,0.46958939856744475,-18.434716845769152,-0.6226312564820043
40,ldamallet,6,0.4695893985674448,-18.43471684576915,-0.6226312564820043
41,ldamallet,8,0.46958939856744475,-18.434716845769152,-0.6226312564820043
42,ldamallet,10,0.46958939856744475,-18.434716845769152,-0.6226312564820045
43,ldamallet,12,0.4695893985674448,-18.43471684576915,-0.6226312564820045
44,ldamallet,14,0.4695893985674448,-18.43471684576915,-0.6226312564820045
45,ldamallet,16,0.46958939856744475,-18.434716845769152,-0.6226312564820043
46,ldamallet,18,0.46958939856744475,-18.434716845769156,-0.6226312564820042
47,ldamallet,20,0.46958939856744475,-18.434716845769156,-0.6226312564820042
48,ldamallet,22,0.4695893985674448,-18.43471684576916,-0.6226312564820042
49,ldamallet,24,0.4695893985674447,-18.434716845769152,-0.6226312564820043
50,ldamallet,26,0.46958939856744475,-18.434716845769152,-0.6226312564820043
51,ldamallet,28,0.46958939856744475,-18.434716845769152,-0.6226312564820045
52,ldamallet,30,0.46958939856744475,-18.434716845769152,-0.6226312564820045
53,ldamallet,32,0.46958939856744475,-18.434716845769152,-0.6226312564820043
54,ldamallet,34,0.46958939856744475,-18.43471684576915,-0.6226312564820045
55,ldamallet,36,0.46958939856744464,-18.43471684576915,-0.6226312564820045
56,ldamallet,38,0.4695893985674446,-18.434716845769145,-0.6226312564820046
