,model,topic,cv,cuci,cnpmi
0,lsi,2,0.32941338857526925,-3.7451993009791584,-0.12460929999416664
1,lsi,4,0.3476942502174456,-4.60868524258988,-0.14107907413499862
2,lsi,6,0.3991500574741392,-7.076298732605408,-0.2064478824661585
3,lsi,8,0.38667348005920116,-7.177269860542566,-0.21851248895724584
4,lsi,10,0.3778353646231323,-6.797800593065531,-0.20218018201970564
5,lsi,12,0.41599428974311753,-7.830904198812147,-0.24373720703898819
6,lsi,14,0.44059030126171067,-8.619890213098206,-0.26644438237162194
7,lsi,16,0.4184528565008824,-8.345681456758312,-0.25829317911169014
8,lsi,18,0.4054289278892681,-8.314299698418454,-0.25931304498568103
9,lsi,20,0.4252451090109151,-8.71806643250253,-0.2723691811774621
10,lsi,22,0.41781308990102456,-8.662359951088321,-0.2706922755207474
11,lsi,24,0.45529288738541557,-9.2761016152062,-0.2856173557333039
12,lsi,26,0.4414620892018162,-9.52341473657641,-0.2981136163416682
13,lsi,28,0.4401218716071547,-9.533624501755503,-0.29704163534968314
14,lsi,30,0.4388567159490223,-9.64114233454198,-0.3069064296714113
15,lsi,32,0.4388946861019806,-9.54384219941816,-0.29633955763973385
16,lsi,34,0.456496040715279,-9.945518935751455,-0.31027379672134103
17,lsi,36,0.45952787485349705,-10.100706917508424,-0.3186180175745032
18,lsi,38,0.4519879570175586,-9.990136304807603,-0.31537540900009947
19,lda,2,0.30091793835792824,-2.86628143007871,-0.0989535580646583
20,lda,4,0.36491264664067913,-5.494131068411946,-0.18167786479576004
21,lda,6,0.37297351216702174,-6.45730527038079,-0.21554728858354752
22,lda,8,0.3707629423872422,-6.320903922887574,-0.20898405436650852
23,lda,10,0.4274232830061761,-7.354640826881514,-0.24500824942513613
24,lda,12,0.4460344842226709,-8.145592398659465,-0.2733263326302314
25,lda,14,0.4550837499062316,-8.254154015927963,-0.27739191601493074
26,lda,16,0.4955116867945566,-8.91587235627137,-0.2980354541244017
27,lda,18,0.5028825868999358,-9.128031992484939,-0.30251535097901355
28,lda,20,0.5112484717004386,-9.42602328003878,-0.3109229499627683
29,lda,22,0.5323948452072556,-9.758188184869924,-0.32490313320337727
30,lda,24,0.5284951309980241,-9.750041034435013,-0.3223657915324158
31,lda,26,0.5413149390764758,-10.260504177056095,-0.34291931820552224
32,lda,28,0.5455023168345197,-10.380768101445579,-0.34121139829586034
33,lda,30,0.548235969358902,-10.31232465545764,-0.34157392804183534
34,lda,32,0.5450273191614085,-10.392518676976827,-0.34298604269869093
35,lda,34,0.5646409329857661,-10.757816748670969,-0.3561382662598746
36,lda,36,0.5504371234306386,-10.76465523941038,-0.3526207306379408
37,lda,38,0.5669693549410675,-10.85100878757908,-0.35716682187274174
38,ldamallet,2,0.669265919361001,-17.790983641570794,-0.5917117874326795
39,ldamallet,4,0.669265919361001,-17.790983641570794,-0.5917117874326795
40,ldamallet,6,0.669265919361001,-17.790983641570794,-0.5917117874326795
41,ldamallet,8,0.669265919361001,-17.790983641570794,-0.5917117874326795
42,ldamallet,10,0.669265919361001,-17.790983641570794,-0.5917117874326794
43,ldamallet,12,0.669265919361001,-17.790983641570794,-0.5917117874326794
44,ldamallet,14,0.669265919361001,-17.790983641570794,-0.5917117874326794
45,ldamallet,16,0.669265919361001,-17.790983641570794,-0.5917117874326795
46,ldamallet,18,0.669265919361001,-17.790983641570794,-0.5917117874326795
47,ldamallet,20,0.669265919361001,-17.790983641570794,-0.5917117874326794
48,ldamallet,22,0.669265919361001,-17.790983641570794,-0.5917117874326794
49,ldamallet,24,0.669265919361001,-17.790983641570794,-0.5917117874326795
50,ldamallet,26,0.6692659193610011,-17.790983641570794,-0.5917117874326794
51,ldamallet,28,0.6692659193610012,-17.790983641570794,-0.5917117874326794
52,ldamallet,30,0.6692659193610013,-17.790983641570797,-0.5917117874326794
53,ldamallet,32,0.669265919361001,-17.790983641570794,-0.5917117874326795
54,ldamallet,34,0.6692659193610011,-17.790983641570797,-0.5917117874326795
55,ldamallet,36,0.6692659193610012,-17.7909836415708,-0.5917117874326795
56,ldamallet,38,0.6692659193610012,-17.7909836415708,-0.5917117874326795
