,model,topic,cv,cuci,cnpmi
0,lsi,2,0.46111521105794007,-4.17616473811275,-0.10239690812022431
1,lsi,4,0.45426337082838075,-4.546136452290666,-0.0897039561557603
2,lsi,6,0.4433146656758105,-5.64545152677571,-0.12286272725492904
3,lsi,8,0.4000031863560318,-8.181368622337207,-0.21564053719376858
4,lsi,10,0.4299932759628492,-8.872213798090112,-0.25701956514051444
5,lsi,12,0.4372991578894319,-7.7496318779189295,-0.20546769666889544
6,lsi,14,0.4754559081324083,-8.461222241778701,-0.24313926918560463
7,lsi,16,0.4638892266173381,-8.72301602224299,-0.25345646474226197
8,lsi,18,0.45023112085769296,-9.703411507410175,-0.2796945759469167
9,lsi,20,0.465492559653146,-9.652740419766838,-0.2842962764864001
10,lsi,22,0.4582621288748628,-10.402539499820108,-0.3142717624701261
11,lsi,24,0.466016478839729,-10.440488900977387,-0.3108268345484127
12,lsi,26,0.47425739223876145,-10.275487559591879,-0.3129789650203683
13,lsi,28,0.4662087563467924,-10.70444805244321,-0.3219731457628919
14,lsi,30,0.47242504285343484,-10.581851967267692,-0.31996321812317785
15,lsi,32,0.5061975173389627,-10.643530914603941,-0.3299474823008676
16,lsi,34,0.5086862983937602,-10.706280587546619,-0.32795349331103774
17,lsi,36,0.5086500824228352,-10.662156655318581,-0.3256405395150455
18,lsi,38,0.49814018580908836,-11.083327061194574,-0.3378348706554124
19,lda,2,0.5549544346985513,-2.6996364507740385,-0.09331335809598026
20,lda,4,0.4325116608484215,-5.725238746876231,-0.1992274510048075
21,lda,6,0.5010403263244935,-7.755241945480826,-0.2604667029914339
22,lda,8,0.5037290493653717,-9.639659737929126,-0.3253194109604431
23,lda,10,0.5279477021305954,-10.131776468379625,-0.3367830083878526
24,lda,12,0.5367727366076291,-10.868428158556362,-0.3606742946001516
25,lda,14,0.54912723936732,-11.313942857187362,-0.37537754702127735
26,lda,16,0.5458269854483611,-11.537839050336812,-0.3812363153571049
27,lda,18,0.5710543931523964,-11.974795336803053,-0.39724544313303045
28,lda,20,0.5375559233037791,-11.446811365381398,-0.3676677124851366
29,lda,22,0.5421978985869232,-11.657648909959523,-0.3762959258100808
30,lda,24,0.517226905679869,-11.508988930717328,-0.3652222425029734
31,lda,26,0.5351884543753442,-11.535350297606918,-0.36514985144073125
32,lda,28,0.5123524316097431,-11.371951123672423,-0.35618040797749606
33,lda,30,0.498701985186274,-11.250031526469341,-0.34678435675106695
34,lda,32,0.49386291779193614,-11.415579649849036,-0.353691003449533
35,lda,34,0.49387415272476076,-10.639872503438005,-0.3175954609735028
36,lda,36,0.4861384005606914,-10.99700659809246,-0.33479362518527334
37,lda,38,0.45738287331708305,-10.902083583033008,-0.3246949702279219
38,ldamallet,2,0.6215890862985568,-16.934480547767787,-0.5837629698318018
39,ldamallet,4,0.6215890862985568,-16.934480547767787,-0.5837629698318018
40,ldamallet,6,0.6215890862985568,-16.934480547767787,-0.5837629698318018
41,ldamallet,8,0.6215890862985568,-16.934480547767787,-0.5837629698318018
42,ldamallet,10,0.6215890862985568,-16.934480547767784,-0.5837629698318018
43,ldamallet,12,0.6215890862985568,-16.934480547767784,-0.5837629698318018
44,ldamallet,14,0.6215890862985568,-16.934480547767784,-0.5837629698318018
45,ldamallet,16,0.6215890862985568,-16.934480547767787,-0.5837629698318018
46,ldamallet,18,0.6215890862985567,-16.93448054776779,-0.5837629698318019
47,ldamallet,20,0.6215890862985567,-16.93448054776779,-0.5837629698318019
48,ldamallet,22,0.6215890862985566,-16.93448054776779,-0.583762969831802
49,ldamallet,24,0.6215890862985568,-16.934480547767787,-0.5837629698318018
50,ldamallet,26,0.6215890862985567,-16.934480547767787,-0.5837629698318019
51,ldamallet,28,0.6215890862985567,-16.934480547767787,-0.5837629698318019
52,ldamallet,30,0.6215890862985566,-16.93448054776779,-0.583762969831802
53,ldamallet,32,0.6215890862985568,-16.934480547767787,-0.5837629698318018
54,ldamallet,34,0.6215890862985568,-16.934480547767784,-0.5837629698318018
55,ldamallet,36,0.6215890862985567,-16.934480547767784,-0.5837629698318019
56,ldamallet,38,0.6215890862985567,-16.93448054776778,-0.5837629698318019
