,model,topic,cv,cuci,cnpmi
0,lsi,2,0.7246748017245903,-9.616929280008467,-0.1915040925702092
1,lsi,4,0.47543085374472116,-10.21796100673387,-0.26540949256926993
2,lsi,6,0.4543738965342062,-10.250546844875352,-0.26098316751141765
3,lsi,8,0.4759574010170623,-10.65542128559839,-0.28730185492934346
4,lsi,10,0.4357659774794449,-10.352579929276896,-0.25893896983473386
5,lsi,12,0.460984588923573,-10.690691473179363,-0.2810373484883329
6,lsi,14,0.5030032088770968,-10.359023876794335,-0.24914287114687972
7,lsi,16,0.45849493665280694,-10.740656435215495,-0.28350381081543485
8,lsi,18,0.48287576336800203,-10.484582022962831,-0.2547944920439813
9,lsi,20,0.4976120211167929,-10.590602354697692,-0.2565568563426327
10,lsi,22,0.48185174993381685,-10.768960173462018,-0.27339553982653286
11,lsi,24,0.48219386478726883,-10.825976000741099,-0.27552530606155384
12,lsi,26,0.46007640235056196,-11.092826693031173,-0.2980750876371444
13,lsi,28,0.48217779851581594,-10.943438821546263,-0.28318429169966614
14,lsi,30,0.47817363799931084,-11.205115956110808,-0.30481239802027477
15,lsi,32,0.4827463283282305,-11.293361103106838,-0.3095459898115915
16,lsi,34,0.48720649220839124,-11.172185533992257,-0.2969635528974526
17,lsi,36,0.5017595141797244,-11.290852655001913,-0.3040912876716273
18,lsi,38,0.4990512425580801,-11.22247358784419,-0.30013185627726113
19,lda,2,0.6059507716538722,-9.465286282853288,-0.29593112860681453
20,lda,4,0.5251341097900543,-10.572413546238934,-0.33232847266458343
21,lda,6,0.5543448268902322,-11.488958212321341,-0.3354849874143655
22,lda,8,0.4563941270969074,-11.218257917122742,-0.33578735812604044
23,lda,10,0.4513552355892217,-11.26239941620376,-0.33504105816800334
24,lda,12,0.45256771976911775,-10.94314389106779,-0.31397099093637326
25,lda,14,0.4584750755528852,-10.106813664863225,-0.2636826033773945
26,lda,16,0.42858248499341317,-10.333580437764253,-0.268741434302909
27,lda,18,0.4010672223160477,-10.37637500254649,-0.27369760022326034
28,lda,20,0.3387745909975435,-9.96193211497452,-0.24868160293045935
29,lda,22,0.34920067779075264,-10.015040065824452,-0.24780791624922308
30,lda,24,0.3593010270554126,-10.074162864748937,-0.25326571815525184
31,lda,26,0.38638038239218386,-9.742937447759386,-0.23392867104730333
32,lda,28,0.4295747296821838,-9.112478861435676,-0.19681744553983208
33,lda,30,0.3381623281036486,-9.837521897003516,-0.23755705910213262
34,lda,32,0.40141311358629495,-9.818798380461367,-0.22923378279893458
35,lda,34,0.417154454951525,-9.52513528852766,-0.21301613205530048
36,lda,36,0.42728110118881096,-9.239291927995506,-0.20042466111597224
37,lda,38,0.43260090881393226,-9.362611310444644,-0.1992890786323988
38,ldamallet,2,0.39618300020011477,-15.147696929808482,-0.4503190582297118
39,ldamallet,4,0.39618300020011477,-15.147696929808482,-0.4503190582297118
40,ldamallet,6,0.39618300020011477,-15.147696929808484,-0.4503190582297118
41,ldamallet,8,0.39618300020011477,-15.147696929808482,-0.4503190582297118
42,ldamallet,10,0.39618300020011477,-15.147696929808484,-0.4503190582297118
43,ldamallet,12,0.39618300020011477,-15.147696929808484,-0.45031905822971185
44,ldamallet,14,0.3961830002001147,-15.147696929808486,-0.4503190582297119
45,ldamallet,16,0.39618300020011477,-15.147696929808482,-0.4503190582297118
46,ldamallet,18,0.3961830002001147,-15.147696929808482,-0.4503190582297118
47,ldamallet,20,0.39618300020011465,-15.147696929808484,-0.45031905822971174
48,ldamallet,22,0.39618300020011465,-15.147696929808484,-0.4503190582297117
49,ldamallet,24,0.39618300020011477,-15.147696929808482,-0.4503190582297118
50,ldamallet,26,0.3961830002001147,-15.147696929808482,-0.45031905822971174
51,ldamallet,28,0.3961830002001147,-15.147696929808484,-0.4503190582297117
52,ldamallet,30,0.39618300020011465,-15.147696929808484,-0.4503190582297117
53,ldamallet,32,0.39618300020011477,-15.147696929808482,-0.4503190582297118
54,ldamallet,34,0.39618300020011477,-15.147696929808482,-0.45031905822971174
55,ldamallet,36,0.3961830002001147,-15.147696929808482,-0.4503190582297118
56,ldamallet,38,0.3961830002001147,-15.147696929808484,-0.45031905822971185
