,model,topic,cv,cuci,cnpmi
0,lsi,2,0.4384056859467326,-4.282650366993385,-0.09789670854974375
1,lsi,4,0.3358996659632354,-6.2846051904324165,-0.15835254952594796
2,lsi,6,0.4254315738399616,-7.068873963657247,-0.1819736049143569
3,lsi,8,0.3383143317941199,-6.581853620729742,-0.17859461282975897
4,lsi,10,0.3749469103891001,-6.7798630161619915,-0.19229178688182916
5,lsi,12,0.38776071151674457,-7.676229392150311,-0.21839104671922774
6,lsi,14,0.3639020465211832,-7.6575917092802355,-0.21441384029863483
7,lsi,16,0.3780812796548216,-7.206359459279696,-0.20595983517835437
8,lsi,18,0.3961056027032652,-7.984448927756699,-0.23031686624984346
9,lsi,20,0.4095073417558884,-8.23471707835371,-0.24263525574625944
10,lsi,22,0.39044093044902506,-8.852626713077248,-0.2594436778315717
11,lsi,24,0.4079599513478322,-8.500014702389313,-0.2506486859122133
12,lsi,26,0.4110358153683284,-8.662761717395325,-0.2548925666719755
13,lsi,28,0.4383592741420997,-9.106059115172489,-0.2744553839540503
14,lsi,30,0.4425844772001355,-9.415846291102572,-0.2835494983811142
15,lsi,32,0.4166327582914406,-8.800521726288867,-0.27343254028432873
16,lsi,34,0.41433803989976925,-8.99130075883915,-0.2745343531444795
17,lsi,36,0.42705896463415094,-9.150092898815622,-0.2809810078624245
18,lsi,38,0.4296861035319061,-9.327156675798028,-0.28761132360074104
19,lda,2,0.3165276056389933,-3.3565185613371575,-0.11603598348797775
20,lda,4,0.3362857030905823,-4.461244588371284,-0.14357186563044622
21,lda,6,0.34093959616733155,-5.06709883366895,-0.16169471161445803
22,lda,8,0.34641495873559935,-6.245599788111525,-0.2035277996795128
23,lda,10,0.41358632796680495,-7.152182078321343,-0.23307566147405984
24,lda,12,0.42095721750576676,-7.929864306412436,-0.26198858643357165
25,lda,14,0.45117975391301063,-8.440635066082196,-0.27308199657060345
26,lda,16,0.46182159421994284,-8.926383927908688,-0.2927905389596927
27,lda,18,0.49098898485226095,-9.834141666919074,-0.32274941868874696
28,lda,20,0.5182624427381358,-10.332301478974266,-0.3417983002028816
29,lda,22,0.51509924936597,-10.529701814611792,-0.34595473355475126
30,lda,24,0.5228239770528812,-10.67492948994653,-0.34941567025102166
31,lda,26,0.5318973214972605,-10.67140377568239,-0.3481829019057827
32,lda,28,0.538610977327374,-10.941254089159523,-0.3568767332235944
33,lda,30,0.521467779590809,-11.131549209500927,-0.3651594998641752
34,lda,32,0.5285533696785878,-11.173684374038924,-0.36252246600348886
35,lda,34,0.5225745787080316,-11.298499618586026,-0.3684049842314734
36,lda,36,0.5298598885641865,-11.259516971849074,-0.3638116641830094
37,lda,38,0.5210084154156199,-11.425421452712019,-0.3708094896129593
38,ldamallet,2,0.4566257623467068,-16.967577267170782,-0.5607436121823757
39,ldamallet,4,0.4566257623467068,-16.967577267170782,-0.5607436121823757
40,ldamallet,6,0.4566257623467069,-16.967577267170782,-0.5607436121823756
41,ldamallet,8,0.4566257623467068,-16.967577267170782,-0.5607436121823757
42,ldamallet,10,0.45662576234670677,-16.967577267170782,-0.5607436121823757
43,ldamallet,12,0.4566257623467067,-16.967577267170782,-0.5607436121823756
44,ldamallet,14,0.45662576234670665,-16.967577267170782,-0.5607436121823756
45,ldamallet,16,0.4566257623467068,-16.967577267170782,-0.5607436121823757
46,ldamallet,18,0.45662576234670677,-16.967577267170782,-0.5607436121823758
47,ldamallet,20,0.4566257623467068,-16.967577267170782,-0.5607436121823758
48,ldamallet,22,0.4566257623467069,-16.967577267170782,-0.5607436121823759
49,ldamallet,24,0.45662576234670677,-16.967577267170782,-0.5607436121823757
50,ldamallet,26,0.4566257623467068,-16.967577267170782,-0.5607436121823757
51,ldamallet,28,0.4566257623467069,-16.967577267170782,-0.5607436121823758
52,ldamallet,30,0.4566257623467069,-16.967577267170782,-0.5607436121823758
53,ldamallet,32,0.4566257623467068,-16.967577267170782,-0.5607436121823757
54,ldamallet,34,0.4566257623467069,-16.967577267170782,-0.5607436121823756
55,ldamallet,36,0.4566257623467069,-16.967577267170782,-0.5607436121823756
56,ldamallet,38,0.45662576234670693,-16.967577267170782,-0.5607436121823755
