,model,topic,cv,cuci,cnpmi
0,lsi,2,0.665263423300942,-1.721634827389852,-0.019338850282866298
1,lsi,4,0.7345540626787812,-5.967280490203315,-0.12145585151721097
2,lsi,6,0.6143805977705593,-3.853340670332891,-0.09664161600455791
3,lsi,8,0.5479890567952161,-3.880141464337228,-0.10407344625278628
4,lsi,10,0.5299739583674468,-4.144241713608319,-0.09683400329192142
5,lsi,12,0.5040650162169455,-3.299747967257892,-0.07283674538446276
6,lsi,14,0.5342174409261916,-3.6461562788265804,-0.088672492369514
7,lsi,16,0.5273538003156513,-3.064770482104298,-0.07189938180925243
8,lsi,18,0.490436365033891,-3.264757891371405,-0.07813887687451776
9,lsi,20,0.4546904085621348,-3.4428176982833465,-0.08988914562427694
10,lsi,22,0.459281575855562,-3.7339495749642553,-0.0982240481045861
11,lsi,24,0.4649795995948909,-3.3195423732415485,-0.08909992876930306
12,lsi,26,0.45715897224253443,-3.852733496353918,-0.1032542129600357
13,lsi,28,0.46269321451728923,-3.983318192416959,-0.10835074496149892
14,lsi,30,0.4214694242608152,-4.394025710365719,-0.1280541337231085
15,lsi,32,0.42591467110600983,-4.364959530529018,-0.12799479701654576
16,lsi,34,0.42660943356229053,-4.31556177909178,-0.12725244546039832
17,lsi,36,0.4204271244400235,-4.390006645613427,-0.13139451826749765
18,lsi,38,0.42986312766887996,-4.569566506615874,-0.1356554356280667
19,lda,2,0.42430940336686584,-4.616040746075554,-0.15044503162103884
20,lda,4,0.4360361071110648,-6.9602921997556475,-0.22455345778064917
21,lda,6,0.41712312019762193,-7.6292495771043205,-0.24614965653243492
22,lda,8,0.40225308512023505,-8.145175281779736,-0.2596317968644185
23,lda,10,0.40025463794619076,-8.64648468733024,-0.2796794140948726
24,lda,12,0.42271928065951475,-8.572257568637141,-0.273848794101241
25,lda,14,0.399594252993451,-8.615878672695526,-0.2735800681169046
26,lda,16,0.41746799216152264,-8.740441587575276,-0.2749114783814236
27,lda,18,0.44117288598205806,-9.087770221373544,-0.28977357383202595
28,lda,20,0.41302152465546793,-9.011608561820115,-0.2849531884643792
29,lda,22,0.4037936456900741,-8.909582122049322,-0.27892658110793805
30,lda,24,0.4076440261764511,-8.732173601563142,-0.2755590787059608
31,lda,26,0.3900191128697722,-8.732075413079842,-0.27512990714902774
32,lda,28,0.4300039997159926,-8.705615299424474,-0.27599932084172907
33,lda,30,0.4109097816796989,-8.31519141979769,-0.26491956276848655
34,lda,32,0.39668787704001757,-8.521096849584568,-0.26723821236309825
35,lda,34,0.40507807997087464,-8.506470855256017,-0.26913206270197393
36,lda,36,0.3950420325316731,-8.410430786373158,-0.26696162074199165
37,lda,38,0.42125217484834715,-8.192746458881834,-0.25878490710886637
38,ldamallet,2,0.8310277642387189,-13.87128096494334,-0.502018398333709
39,ldamallet,4,0.8310277642387189,-13.87128096494334,-0.502018398333709
40,ldamallet,6,0.831027764238719,-13.87128096494334,-0.5020183983337089
41,ldamallet,8,0.8310277642387189,-13.87128096494334,-0.502018398333709
42,ldamallet,10,0.8310277642387189,-13.871280964943342,-0.502018398333709
43,ldamallet,12,0.831027764238719,-13.87128096494334,-0.5020183983337089
44,ldamallet,14,0.831027764238719,-13.87128096494334,-0.5020183983337089
45,ldamallet,16,0.8310277642387189,-13.87128096494334,-0.502018398333709
46,ldamallet,18,0.8310277642387189,-13.87128096494334,-0.502018398333709
47,ldamallet,20,0.8310277642387189,-13.871280964943342,-0.502018398333709
48,ldamallet,22,0.831027764238719,-13.871280964943344,-0.5020183983337089
49,ldamallet,24,0.8310277642387188,-13.87128096494334,-0.502018398333709
50,ldamallet,26,0.8310277642387189,-13.871280964943342,-0.502018398333709
51,ldamallet,28,0.8310277642387189,-13.871280964943344,-0.502018398333709
52,ldamallet,30,0.8310277642387189,-13.871280964943345,-0.502018398333709
53,ldamallet,32,0.8310277642387189,-13.87128096494334,-0.502018398333709
54,ldamallet,34,0.8310277642387189,-13.871280964943342,-0.5020183983337091
55,ldamallet,36,0.8310277642387189,-13.871280964943344,-0.5020183983337092
56,ldamallet,38,0.8310277642387189,-13.871280964943344,-0.5020183983337092
