,model,topic,cv,cuci,cnpmi
0,lsi,2,0.9398066745605269,-7.299030245935015,-0.1588891313098576
1,lsi,4,0.6695085902535124,-7.6899069596661445,-0.19888399784277128
2,lsi,6,0.5593329807254789,-5.945023270395804,-0.14297838983241298
3,lsi,8,0.44221494621586344,-6.0830452893724765,-0.16849636476095808
4,lsi,10,0.39145438458534787,-5.207578217231906,-0.14612718840571715
5,lsi,12,0.46357440681876255,-7.304579718803531,-0.1983961716958648
6,lsi,14,0.4570347958702931,-6.850877336047806,-0.1912865695084718
7,lsi,16,0.44571120315619045,-7.229368794013448,-0.20610776068002984
8,lsi,18,0.4283977728872929,-6.616116597268867,-0.18818548390919485
9,lsi,20,0.43398778905595237,-6.839653549951142,-0.1978266185390515
10,lsi,22,0.4350823122566502,-7.5340289236553675,-0.2208980120458861
11,lsi,24,0.42500289722932166,-7.0519972926732875,-0.20563689698797868
12,lsi,26,0.4419887839924708,-7.720613283794136,-0.23074890655011376
13,lsi,28,0.42711337814838196,-7.811294703044496,-0.23526893627546688
14,lsi,30,0.40575768759507835,-7.486378237596938,-0.22514539317793827
15,lsi,32,0.4318026193219004,-7.880242826914465,-0.23867852898334999
16,lsi,34,0.42951601761653313,-7.789337804899321,-0.23344145070829256
17,lsi,36,0.43049191135543907,-8.287805641671834,-0.25190512117668384
18,lsi,38,0.43785662652282786,-8.137897693945533,-0.2468798127123909
19,lda,2,0.5532379770345758,-2.4566288142632398,-0.0862295299276865
20,lda,4,0.4747245725762134,-2.7313193524973753,-0.09685037002436762
21,lda,6,0.4731414748963245,-4.260185607361358,-0.1323984675647238
22,lda,8,0.45677044569582437,-3.5106377990000937,-0.11753101161240612
23,lda,10,0.420657619339885,-4.941588582632329,-0.17066140943776348
24,lda,12,0.4322515258359257,-5.410754301932026,-0.18145047099698394
25,lda,14,0.45035112634069113,-5.272551181748027,-0.17556910584070182
26,lda,16,0.4617544560877636,-6.723791195275007,-0.225247355896342
27,lda,18,0.47048368058498674,-7.01967721467,-0.2320873525267547
28,lda,20,0.44821662273224894,-7.345248970901812,-0.24850381599110882
29,lda,22,0.4568845508276397,-7.737676187048654,-0.2547712384760667
30,lda,24,0.4804936690020179,-8.07174075426217,-0.2675524096461277
31,lda,26,0.48208745970839606,-8.855878888558767,-0.289973205094392
32,lda,28,0.48305356040335007,-8.792195510020518,-0.2914268531332961
33,lda,30,0.4937100933204943,-9.171695589350021,-0.3044213729721528
34,lda,32,0.48987853377408275,-9.17706099860153,-0.3058354155784913
35,lda,34,0.4826889668764796,-9.328808994107868,-0.3058408459765484
36,lda,36,0.48370698619981894,-9.539251847075008,-0.31422804888254346
37,lda,38,0.5013731039021868,-9.815385303276217,-0.32148460685836966
38,ldamallet,2,0.37615993619694565,-14.302176426534096,-0.41693766651179426
39,ldamallet,4,0.37615993619694565,-14.302176426534096,-0.41693766651179426
40,ldamallet,6,0.37615993619694565,-14.302176426534094,-0.41693766651179426
41,ldamallet,8,0.37615993619694565,-14.302176426534096,-0.41693766651179426
42,ldamallet,10,0.37615993619694565,-14.302176426534094,-0.41693766651179426
43,ldamallet,12,0.37615993619694565,-14.302176426534094,-0.41693766651179426
44,ldamallet,14,0.3761599361969456,-14.302176426534093,-0.4169376665117942
45,ldamallet,16,0.37615993619694565,-14.302176426534096,-0.41693766651179426
46,ldamallet,18,0.3761599361969456,-14.302176426534096,-0.41693766651179426
47,ldamallet,20,0.37615993619694554,-14.302176426534098,-0.41693766651179426
48,ldamallet,22,0.37615993619694554,-14.3021764265341,-0.41693766651179426
49,ldamallet,24,0.37615993619694565,-14.302176426534096,-0.41693766651179426
50,ldamallet,26,0.3761599361969456,-14.302176426534098,-0.4169376665117942
51,ldamallet,28,0.3761599361969456,-14.3021764265341,-0.4169376665117942
52,ldamallet,30,0.37615993619694554,-14.3021764265341,-0.4169376665117942
53,ldamallet,32,0.37615993619694565,-14.302176426534096,-0.41693766651179426
54,ldamallet,34,0.37615993619694565,-14.302176426534098,-0.41693766651179426
55,ldamallet,36,0.3761599361969456,-14.302176426534098,-0.41693766651179426
56,ldamallet,38,0.3761599361969456,-14.302176426534096,-0.41693766651179426
