,text
0,WORK-IN-PROGRESS.  Do **NOT** merge.  More work needs to be done and the tests are currently broken.\n- JSONP should require trusted resource URLs.  This would be a breaking\n  change but maybe not too onerous since same origin URLs are trusted in\n  the default config and you can easily whitelist any 3rd party URLs you\n  trust in one single place (your app/module config.)\n- fix a bug where $http can't handle $sce wrapper URLs.\n\nCloses #11352\nCloses #11328\n sec(http): JSONP should require trusted resource URLs >>> 0
1,"JSONP requests allow full access to the browser and the JavaScript context. So allowing a malicious attacker to make a JSONP request to an evil server could have bad results.\n\nBy requiring that JSONP urls are trusted we make it easier for developers to see that their app is only able to make JSONP requests to urls that they have audited.\n\nThere are two ways to trust:\n- whitelisting the url\n- explicitly marking a url as trusted by calling `$sce.trustAs`\n\nThe first commit in this PR ensures that all JSONP requests use a URL that is validated against the `$sce` ResourceUrl whitelist/blacklist checking. This commit creates a Breaking Change for app developers as they must now add all of their JSONP endpoints to the whitelist before their app will work. Although as significant breaking change, it is fairly simple to fix: just search for all calls to `$http.jsonp` and identify the url. Of course if the url is being generated dynamically then this is harder to fix but also indicates that perhaps there is a security vulnerability.\n\nThe second commit allows developers to provide explicitly trusted urls as a result of calling `$sce.trustAsResourceUrl`. This second approach has a few quirks:\n- the `$http` service needs to append parameters to the url, which means that the trusted url must be unwrapped, modified and then re-wrapped as trusted before passing it to `$httpBackend`.\n- it may be possible (??) that there might be an attack vector if an attacker is able to access a different endpoint by changing the parameters. But perhaps since the domain and path cannot be modified by the param serializer this is not an issue?\n\n_Is it acceptable (from a security point of view) to allow parameters to be added to a trusted url? If so then we could refactor the checks to happen in the `$http` service instead of `$httpBackend` which would remove the need for the re-wrapping of the built url._\n\nCloses #11352\nCloses #11328\n feat(http): JSONP requests now require trusted resource URLs >>> 0"
2,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nrefactor\n\n**What is the current behavior? (You can also link to an open issue here)**\nTests are duplicated and have non-optimal expects\n\n**What is the new behavior (if this is a feature change)?**\nTests use they and have been moved to one place\n refactor(compileSpec): make tests consistent >>> 1"
3,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\n\n**What is the current behavior? (You can also link to an open issue here)**\n\n**What is the new behavior (if this is a feature change)?**\n\n**Does this PR introduce a breaking change?**\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [ ] Tests for the changes have been added (for bug fixes / features)\n- [ ] Docs have been added / updated (for bug fixes / features)\n\n**Other information**:\n Updated README.md - Add additional introductory paragraph >>> 0"
4,This PR replaces #15143 which is too complicated.\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [x] Tests for the changes have been added (for bug fixes / features)\n- [ ] Docs have been added / updated (for bug fixes / features)\n feat($httpBackend): JSONP requests now require trusted resource  >>> 0
5,"This PR fixes the issue in bug #15144. If the page specifies a base URL using `<base>` tag, Angular may start to reject relative resource URL if the base URL domain does not match the loading domain. This PR adjusts matchUrl() to also consider the base URL (`document.baseURI`) in addition to `location.href` when matching URLs against the 'self' URl policy.\n\nThis PR does not introduce any breaking changes.\n\nSecurity note: SCE policy can be circumvented by rogue `<base>` tags on the page. However, I believe this is not too much of a concern. If an attacker can inject `<base>` tags, then it's very likely they can inject arbitrary HTML, which is a way worse vulnerability.\n fix($sce): Consider document base URL for 'self' URL policy. >>> 0"
6,"**What kind of change does this PR introduce?** Docs\n\n**What is the current behavior?** Incorrect wording\n\n**What is the new behavior (if this is a feature change)?** Correct wording\n\n**Does this PR introduce a breaking change?** No\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [x] Tests for the changes have been added (for bug fixes / features)\n- [x] Docs have been added / updated (for bug fixes / features)\n\n**Other information**:\n\nI don't think ""Idempotence"" is a property that filters need to fulfill: https://en.wikipedia.org/wiki/Idempotence. Idempotence means that `f(f(x)) == f(x)`, i.e. that applying a filter to the result of itself gives the same value as only applying it once. Many common filters are not idempotent. For example, applying reverse twice is not the same as applying it once.\n docs(guide/Filters): Fix incorrect wording >>> 0"
7,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nRefactors & breaking API changes.\n\n**What is the current behavior? (You can also link to an open issue here)**\nBoolean attribute getters take properties into account and setters modify them. All falsy values for boolean attribute setters remove the attribute and set the property to false. The `null` value in a setter (for all attributes, not only boolean ones) sets the attribute value to the string `""null""` instead of removing it.\n\n**What is the new behavior (if this is a feature change)?**\nBoolean attribute getters/setters don't touch properties. The `null` value in a setter (for all attributes, not only boolean ones) removes the attribute. The `false` value removes it only for boolean attributes. Other defined values for boolean attributes set the value to the lowercased attribute name.\n\n**Does this PR introduce a breaking change?**\nYes.\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [x] Tests for the changes have been added (for bug fixes / features)\n- [ ] ~~Docs have been added / updated (for bug fixes / features)~~ - only in a form of commit messages with their `BREAKING CHANGES` sections; is anything else needed?\n\n**Other information**:\n Align jqLite's attr method with jQuery >>> 1"
8,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\n\nFix/clarification of how synchronous validators work.\n\n**What is the current behavior? (You can also link to an open issue here)**\n#14734 All values except `false` literal and `undefined` are treated as a pass. `undefined` is treated as pending, which makes no sense for synchronous operation.\n\n**What is the new behavior (if this is a feature change)?**\n\nAll falsy value returns to a synchronous validator are treated as fails, including `undefined`.\n\n**Does this PR introduce a breaking change?**\n\nYes, see commit message.\n\n**Please check if the PR fulfills these requirements**\n- [ x ] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [ x ] Tests for the changes have been added (for bug fixes / features)\n- [ ] Docs have been added / updated (for bug fixes / features)\n\n**Other information**:\n\nI believe a change to docs in unnecessary. We still expect `true` and `false` to be the primary returns and don't want to encourage otherwise. This is mostly clarifying a niche, undocumented, edge-case to behave more intuitively.\n Patch 14734 boolean sync validators >>> 0"
9,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nRefactor/Fix (depending on your point of view).\n\n**What is the current behavior? (You can also link to an open issue here)**\nErrors thrown in a promise's `onFulfilled` or `onRejected` handlers are treated in a\nslightly different manner than regular rejections:  \nThey are passed to the `$exceptionHandler()` (in addition to being converted to rejections).\nSee also #3174 and #14745.\n\n**What is the new behavior (if this is a feature change)?**\nThe distinction is removed, by skipping the call to `$exceptionHandler()`, thus treating\nthrown errors as regular rejections.\n\n**Does this PR introduce a breaking change?**\nYes.\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [x] Tests for the changes have been added (for bug fixes / features)\n- [ ] ~~Docs have been added / updated (for bug fixes / features)~~\n\n**Other information**:\nPreviously, errors thrown in a promise's `onFulfilled` or `onRejected` handlers were treated in a\nslightly different manner than regular rejections:\nThey were passed to the `$exceptionHandler()` (in addition to being converted to rejections).\n\nThe reasoning for this behavior was that an uncaught error is different than a regular rejection, as\nit can be caused by a programming error, for example. In practice, this turned out to be confusing\nor undesirable for users, since neither native promises nor any other popular promise library\ndistinguishes thrown errors from regular rejections.\n(Note: While this behavior does not go against the Promises/A+ spec, it is not prescribed either.)\n\nThis commit removes the distinction, by skipping the call to `$exceptionHandler()`, thus treating\nthrown errors as regular rejections.\n\n**Note:**\nUnless explicitly turned off, possibly unhandled rejections will still be caught and passed to the\n`$exceptionHandler()`, so errors thrown due to programming errors and not otherwise handled (with a\nsubsequent `onRejected` handler) will not go unnoticed.\n\nBREAKING CHANGE:\n\nPreviously, throwing an error from a promise's `onFulfilled` or `onRejection` handlers, would result\nin passing the error to the `$exceptionHandler()` (in addition to rejecting the promise with the\nerror as reason).\n\nNow, a thrown error is treated exactly the same as a regular rejection. This applies to all\nservices/controllers/filters etc that rely on `$q` (including built-in services, such as `$http` and\n`$route`). For example, `$http`'s `transformRequest/Response` functions or a route's `redirectTo`\nfunction as well as functions specified in a route's `resolve` object, will no longer result in a\ncall to `$exceptionHandler()` if they throw an error. Other than that, everything will continue to\nbehave in the same way; i.e. the promises will be rejected, route transition will be cancelled,\n`$routeChangeError` events will be broadcasted etc.\n\nFixes #3174\nFixes #14745\n fix($q): treat thrown errors as regular rejections >>> 0"
